NR Number,Strain Name,Plate,Well,Gene Name,Gene Description,Accession Number,Plate 1,plate,underscore,location
NR-46580,NE37,1,G1,icaA,intercellular adhesion protein A,SAUSA300_2600,D1,1,_,1_D1
NR-46581,NE38,1,G3,,similar to glycerate dehydrogenase,SAUSA300_2254,D2,1,_,1_D2
NR-46582,NE39,1,G5,ptsG,"phosphotransferase system, glucose-specific IIABC component",SAUSA300_2476,D3,1,_,1_D3
NR-46583,NE40,1,G7,,conserved hypothetical protein,SAUSA300_1174,D4,1,_,1_D4
NR-46584,NE41,1,G9,,cation transport family protein,SAUSA300_1979,D5,1,_,1_D5
NR-46585,NE42,1,G11,,conserved hypothetical protein,SAUSA300_2212,D6,1,_,1_D6
NR-46586,NE43,1,G13,ureF,urease accessory protein UreF,SAUSA300_2242,D7,1,_,1_D7
NR-46587,NE44,1,G15,brnQ,branched-chain amino acid transport system II carrier protein,SAUSA300_1300,D8,1,_,1_D8
NR-46588,NE45,1,G17,,accessory secretory protein Asp1,SAUSA300_2587,D9,1,_,1_D9
NR-46589,NE46,1,G19,,"phi77 ORF001-like protein, phage tail tape measure protein",SAUSA300_1930,D10,1,_,1_D10
NR-46590,NE47,1,G21,,"phiSLT ORF2067-like protein, phage tail tape measure protein",SAUSA300_1393,D11,1,_,1_D11
NR-46591,NE48,1,G23,,"maltose ABC transporter, permease protein",SAUSA300_0210,D12,1,_,1_D12
NR-46592,NE49,1,I1,,"DNA-binding response regulator, AraC family",SAUSA300_0217,E1,1,_,1_E1
NR-46593,NE50,1,I3,,conserved hypothetical protein,SAUSA300_0935,E2,1,_,1_E2
NR-46594,NE51,1,I5,,conserved hypothetical protein,SAUSA300_1707,E3,1,_,1_E3
NR-46595,NE52,1,I7,,conserved hypothetical protein,SAUSA300_2394,E4,1,_,1_E4
NR-46596,NE53,1,I9,,conserved hypothetical protein,SAUSA300_2421,E5,1,_,1_E5
NR-46597,NE54,1,I11,,"ABC transporter, ATP-binding/permease protein",SAUSA300_2375,E6,1,_,1_E6
NR-46598,NE55,1,I13,,putative membrane protein,SAUSA300_0319,E7,1,_,1_E7
NR-46599,NE56,1,I15,,cell wall surface anchor family protein,SAUSA300_1702,E8,1,_,1_E8
NR-46600,NE57,1,I17,,"acetyltransferase, GNAT family",SAUSA300_0771,E9,1,_,1_E9
NR-46601,NE58,1,I19,nrdD,"anaerobic ribonucleotide reductase, large subunit",SAUSA300_2551,E10,1,_,1_E10
NR-46602,NE59,1,I21,,exotoxin,SAUSA300_0404,E11,1,_,1_E11
NR-46603,NE60,1,I23,metB,cystathionine gamma-synthase,SAUSA300_0434,E12,1,_,1_E12
NR-46604,NE61,1,K1,lacE,"PTS system, lactose-specific IIBC componen",SAUSA300_2150,F1,1,_,1_F1
NR-46605,NE62,1,K3,,Toprim domain protein,SAUSA300_0794,F2,1,_,1_F2
NR-46606,NE63,1,K5,,alpha glucosidase,SAUSA300_1456,F3,1,_,1_F3
NR-46607,NE64,1,K7,hemG,protoporphyrinogen oxidase,SAUSA300_1781,F4,1,_,1_F4
NR-46608,NE65,1,K9,,conserved hypothetical protein,SAUSA300_0233,F5,1,_,1_F5
NR-46609,NE66,1,K11,,"preprotein translocase, secA protein",SAUSA300_2584,F6,1,_,1_F6
NR-46610,NE67,1,K13,isaB,immunodominant antigen B,SAUSA300_2573,F7,1,_,1_F7
NR-46611,NE68,1,K15,,ABC transporter ATP-binding protein,SAUSA300_0620,F8,1,_,1_F8
NR-46612,NE69,1,K17,,conserved hypothetical protein,SAUSA300_1771,F9,1,_,1_F9
NR-46613,NE70,1,K19,,"ABC transporter, permease protein",SAUSA300_0648,F10,1,_,1_F10
NR-46614,NE71,1,K21,,putative membrane protein,SAUSA300_0640,F11,1,_,1_F11
NR-46615,NE72,1,K23,,acyltransferase,SAUSA300_2504,F12,1,_,1_F12
NR-46616,NE73,1,M1,,putative lipoprotein,SAUSA300_2354,G1,1,_,1_G1
NR-46617,NE74,1,M3,,5-nucleotidase family protein,SAUSA300_0828,G2,1,_,1_G2
NR-46618,NE75,1,M5,cap1B,capsular polysaccharide biosynthesis protein Cap1B,SAUSA300_2597,G3,1,_,1_G3
NR-46619,NE76,1,M7,leuB,3-isopropylmalate dehydrogenase,SAUSA300_2011,G4,1,_,1_G4
NR-46620,NE77,1,M9,1,conserved hypothetical protein,SAUSA300_0465,G5,1,_,1_G5
NR-46621,NE78,1,M11,,"transcriptional regulator, AraC family",SAUSA300_0104,G6,1,_,1_G6
NR-46622,NE79,1,M13,,conserved hypothetical protein,SAUSA300_2148,G7,1,_,1_G7
NR-46623,NE80,1,M15,mutL,DNA mismatch repair protein mutL,SAUSA300_1189,G8,1,_,1_G8
NR-46624,NE81,1,M17,galM,aldose 1-epimerase,SAUSA300_2285,G9,1,_,1_G9
NR-46625,NE82,1,M19,,putative membrane protein,SAUSA300_2472,G10,1,_,1_G10
NR-46626,NE83,1,M21,,"acetyltransferase, GNAT family",SAUSA300_1980,G11,1,_,1_G11
NR-46627,NE84,1,M23,uvrB,"excinuclease ABC, B subunit",SAUSA300_0741,G12,1,_,1_G12
NR-46628,NE85,1,O1,lacG,6-phospho-beta-galactosidase,SAUSA300_2149,H1,1,_,1_H1
NR-46629,NE86,1,O3,,conserved hypothetical protein,SAUSA300_2085,H2,1,_,1_H2
NR-46630,NE87,1,O5,,conserved hypothetical protein,SAUSA300_1523,H3,1,_,1_H3
NR-46631,NE88,1,O7,,HNH endonuclease family protein,SAUSA300_0045,H4,1,_,1_H4
NR-46632,NE89,1,O9,,conserved hypothetical protein,SAUSA300_0128,H5,1,_,1_H5
NR-46633,NE90,1,O11,msrA,methionine-S-sulfoxide reductase,SAUSA300_1317,H6,1,_,1_H6
NR-46634,NE91,1,O13,kdpA,"K+-transporting ATPase, A subunit",SAUSA300_2034,H7,1,_,1_H7
NR-46635,NE92,1,O15,qoxA,"quinol oxidase, subunit II",SAUSA300_0963,H8,1,_,1_H8
NR-46636,NE93,1,O17,,similar to DNA mismatch repair protein,SAUSA300_2001,H9,1,_,1_H9
NR-46637,NE94,1,O19,,conserved hypothetical protein,SAUSA300_1802,H10,1,_,1_H10
NR-46638,NE95,1,O21,agrB,accessory gene regulator protein B,SAUSA300_1989,H11,1,_,1_H11
NR-46639,NE96,1,O23,sarU,staphylococcal accessory regulator U,SAUSA300_2438,H12,1,_,1_H12
,,,,,,,plate 2,,_,_plate 2
NR-46640,NE97,1,B1,,UTP-glucose-1-phosphate uridylyltransferase family protein,SAUSA300_2130,A1,2,_,2_A1
NR-46641,NE98,1,B3,,sdrE protein,SAUSA300_0548,A2,2,_,2_A2
NR-46642,NE99,1,B5,,"transcriptional regulator, Fur family",SAUSA300_1448,A3,2,_,2_A3
NR-46643,NE100,1,B7,,FtsK/SpoIIIE family protein,SAUSA300_1482,A4,2,_,2_A4
NR-46644,NE101,1,B9,,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,SAUSA300_0245,A5,2,_,2_A5
NR-46645,NE102,1,B11,,arginine/ornithine antiporter,SAUSA300_2568,A6,2,_,2_A6
NR-46646,NE103,1,B13,,ATP phosphoribosyltransferase hisG,SAUSA300_2612,A7,2,_,2_A7
NR-46647,NE104,1,B15,,putative lipase/esterase,SAUSA300_0641,A8,2,_,2_A8
NR-46648,NE105,1,B17,,"glycosyl transferase, group 1 family protein",SAUSA300_0550,A9,2,_,2_A9
NR-46649,NE106,1,B19,,argininosuccinate lyase,SAUSA300_0863,A10,2,_,2_A10
NR-46650,NE107,1,B21,,putative ABC transporter protein EcsB,SAUSA300_1785,A11,2,_,2_A11
NR-46651,NE108,1,B23,,conserved hypothetical protein,SAUSA300_0700,A12,2,_,2_A12
NR-46652,NE109,1,D1,,OsmC/Ohr family protein,SAUSA300_1668,B1,2,_,2_B1
NR-46653,NE110,1,D3,,"transcriptional regulator, GntRfamily/aminotransferase, class I",SAUSA300_0110,B2,2,_,2_B2
NR-46654,NE111,1,D5,,putative surface protein,SAUSA300_0883,B3,2,_,2_B3
NR-46655,NE112,1,D7,,sucrose-specific PTS tranporter protein,SAUSA300_0194,B4,2,_,2_B4
NR-46656,NE113,1,D9,,conserved hypothetical protein,SAUSA300_1041,B5,2,_,2_B5
NR-46657,NE114,1,D11,adhE,"alcohol dehydrogenase, iron-containing",SAUSA300_0151,B6,2,_,2_B6
NR-46658,NE115,1,D13,,"peptidase, M20/M25/M40 family",SAUSA300_0105,B7,2,_,2_B7
NR-46659,NE116,1,D15,,putative sensor histidine kinase,SAUSA300_1219,B8,2,_,2_B8
NR-46660,NE117,1,D17,,"cytochrome D ubiquinol oxidase, subunit I",SAUSA300_0986,B9,2,_,2_B9
NR-46661,NE118,1,D19,,nitroreductase family protein,SAUSA300_1986,B10,2,_,2_B10
NR-46662,NE119,1,D21,,non-ribosomal peptide synthetase,SAUSA300_0181,B11,2,_,2_B11
NR-46663,NE120,1,D23,,putative membrane protein,SAUSA300_0341,B12,2,_,2_B12
NR-46664,NE121,1,F1,,conserved hypothetical protein,SAUSA300_0207,C1,2,_,2_C1
NR-46665,NE122,1,F3,,"alcohol dehydrogenase, zinc-containing",SAUSA300_0055,C2,2,_,2_C2
NR-46666,NE123,1,F5,,cobalt transport family protein,SAUSA300_0977,C3,2,_,2_C3
NR-46667,NE124,1,F7,,metallo-beta-lactamase family protein,SAUSA300_0044,C4,2,_,2_C4
NR-46668,NE125,1,F9,,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,SAUSA300_0246,C5,2,_,2_C5
NR-46669,NE126,1,F11,,para-nitrobenzyl esterase,SAUSA300_2396,C6,2,_,2_C6
NR-46670,NE127,1,F13,,conserved hypothetical protein,SAUSA300_0656,C7,2,_,2_C7
NR-46671,NE128,1,F15,,glyoxylase family protein,SAUSA300_2458,C8,2,_,2_C8
NR-46672,NE129,1,F17,,DNA internalization-related competence proteinComEC/Rec2,SAUSA300_1547,C9,2,_,2_C9
NR-46673,NE130,1,F19,,conserved hypothetical protein,SAUSA300_1560,C10,2,_,2_C10
NR-46674,NE131,1,F21,,phiSLT ORF 77-like protein,SAUSA300_1415,C11,2,_,2_C11
NR-46675,NE132,1,F23,,putative transcriptional regulator,SAUSA300_2640,C12,2,_,2_C12
NR-46676,NE133,1,H1,,Methyltransferase,SAUSA300_0464,D1,2,_,2_D1
NR-46677,NE134,1,H3,,arginase,SAUSA300_2114,D2,2,_,2_D2
NR-46678,NE135,1,H5,cap5B,capsular polysaccharide biosynthesis protein Cap5B,SAUSA300_0153,D3,2,_,2_D3
NR-46679,NE136,1,H7,,RNA methyltransferase,SAUSA300_1805,D4,2,_,2_D4
NR-46680,NE137,1,H9,,conserved hypothetical protein,SAUSA300_0168,D5,2,_,2_D5
NR-46681,NE138,1,H11,,putative membrane protein,SAUSA300_0275,D6,2,_,2_D6
NR-46682,NE139,1,H13,,"ABC transporter, ATP-binding/permease protein",SAUSA300_2374,D7,2,_,2_D7
NR-46683,NE140,1,H15,,conserved hypothetical protein,SAUSA300_1440,D8,2,_,2_D8
NR-46684,NE141,1,H17,gidB,glucose-inhibited division protein B,SAUSA300_2645,D9,2,_,2_D9
NR-46685,NE142,1,H19,,amino acid carrier protein,SAUSA300_1252,D10,2,_,2_D10
NR-46686,NE143,1,H21,,conserved hypothetical protein,SAUSA300_1301,D11,2,_,2_D11
NR-46687,NE144,1,H23,,putative tetracycline resistance protein,SAUSA300_0139,D12,2,_,2_D12
NR-46688,NE145,1,J1,uvrA,"excinuclease ABC, A subunit",SAUSA300_0742,E1,2,_,2_E1
NR-46689,NE146,1,J3,,"iron compound ABC transporter, permease",SAUSA300_0718,E2,2,_,2_E2
NR-46690,NE147,1,J5,,sensor histidine kinase,SAUSA300_0254,E3,2,_,2_E3
NR-46691,NE148,1,J7,,essC protein,SAUSA300_0283,E4,2,_,2_E4
NR-46692,NE149,1,J9,rho,transcription termination factor Rho,SAUSA300_2075,E5,2,_,2_E5
NR-46693,NE150,1,J11,,conserved hypothetical protein,SAUSA300_0097,E6,2,_,2_E6
NR-46694,NE151,1,J13,,phi77 ORF109-like protein,SAUSA300_1928,E7,2,_,2_E7
NR-46695,NE152,1,J15,topB,DNA topoisomerase III,SAUSA300_2208,E8,2,_,2_E8
NR-46696,NE153,1,J17,,"amino acid ABC transporter, ATP-binding protein",SAUSA300_1807,E9,2,_,2_E9
NR-46697,NE154,1,J19,,putative membrane protein,SAUSA300_2385,E10,2,_,2_E10
NR-46698,NE155,1,J21,,conserved hypothetical protein,SAUSA300_0779,E11,2,_,2_E11
NR-46699,NE156,1,J23,,putative membrane protein,SAUSA300_0351,E12,2,_,2_E12
NR-46700,NE157,1,L1,,putative membrane protein,SAUSA300_0678,F1,2,_,2_F1
NR-46701,NE158,1,L3,,conserved hypothetical protein,SAUSA300_2138,F2,2,_,2_F2
NR-46702,NE159,1,L5,,conserved hypothetical protein,SAUSA300_0935,F3,2,_,2_F3
NR-46703,NE160,1,L7,bioB,biotin synthase,SAUSA300_2371,F4,2,_,2_F4
NR-46704,NE161,1,L9,,conserved hypothetical protein,SAUSA300_0812,F5,2,_,2_F5
NR-46705,NE162,1,L11,,putative substrate--CoA ligase,SAUSA300_0559,F6,2,_,2_F6
NR-46706,NE163,1,L13,aur,zinc metalloproteinase aureolysin,SAUSA300_2572,F7,2,_,2_F7
NR-46707,NE164,1,L15,,"ribosomal large subunit pseudouridine synthase, RluD subfamily",SAUSA300_1800,F8,2,_,2_F8
NR-46708,NE165,1,L17,,staphylococcal accessory regulator,SAUSA300_0114,F9,2,_,2_F9
NR-46709,NE166,1,L19,,putative membrane protein,SAUSA300_0230,F10,2,_,2_F10
NR-46710,NE167,1,L21,,"phi77 ORF015-like protein, putative protease / phage portal protein",SAUSA300_1939,F11,2,_,2_F11
NR-46711,NE168,1,L23,opp-2B,"tide ABC transporter, permease protein / oligopeptide permease, channel-forming pro",SAUSA300_1276,F12,2,_,2_F12
NR-46712,NE169,1,N1,cap5P,capsular polysaccharide biosynthesis protein Cap5P,SAUSA300_0167,G1,2,_,2_G1
NR-46713,NE170,1,N3,,putative acetyltransferase,SAUSA300_0745,G2,2,_,2_G2
NR-46714,NE171,1,N5,"phi77 ORF109-like protein / phi77 ORF002-like protein, phage minor structural protein",,SAUSA300_1927,G3,2,_,2_G3
NR-46715,NE172,1,N7,ptsG,"PTS system, glucose-specific IIBC component domain protein",SAUSA300_0191,G4,2,_,2_G4
NR-46716,NE173,1,N9,,putative comf operon protein 1,SAUSA300_0734,G5,2,_,2_G5
NR-46717,NE174,1,N11,trpC,N-(5'phosphoribosyl)anthranilate isomerase,SAUSA300_1265,G6,2,_,2_G6
NR-46718,NE175,1,N13,,"glycosyl transferase, group 1 family protein",SAUSA300_0132,G7,2,_,2_G7
NR-46719,NE176,1,N15,,anion transporter family protein,SAUSA300_0676,G8,2,_,2_G8
NR-46720,NE177,1,N17,,putative membrane protein,SAUSA300_2448,G9,2,_,2_G9
NR-46721,NE178,1,N19,,isopropylmalate synthase-related protein,SAUSA300_0879,G10,2,_,2_G10
NR-46722,NE179,1,N21,,multidrug resistance protein,SAUSA300_2360,G11,2,_,2_G11
NR-46723,NE180,1,N23,,putative lipoprotein,SAUSA300_2403,G12,2,_,2_G12
NR-46724,NE181,1,P1,,conserved hypothetical phage protein,SAUSA300_1936,H1,2,_,2_H1
NR-46725,NE182,1,P3,,conserved hypothetical protein,SAUSA300_1802,H2,2,_,2_H2
NR-46726,NE183,1,P5,,glycerate dehydrogenase-like protein,SAUSA300_2254,H3,2,_,2_H3
NR-46727,NE184,1,P7,,conserved hypothetical protein,SAUSA300_1533,H4,2,_,2_H4
NR-46728,NE185,1,P9,,"siderophore biosynthesis protein, IucA/IucC family",SAUSA300_0122,H5,2,_,2_H5
NR-46729,NE186,1,P11,fnbA,fibronectin binding protein A,SAUSA300_2441,H6,2,_,2_H6
NR-46730,NE187,1,P13,pitA,phosphate transporter family protein,SAUSA300_0650,H7,2,_,2_H7
NR-46731,NE188,1,P15,mfd,transcription-repair coupling factor,SAUSA300_0481,H8,2,_,2_H8
NR-46732,NE189,1,P17,,O-methyltransferase family protein,SAUSA300_1571,H9,2,_,2_H9
NR-46733,NE190,1,P19,,staphylococcal tandem lipoprotein,SAUSA300_2428,H10,2,_,2_H10
NR-46734,NE191,1,P21,,methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase,SAUSA300_0965,H11,2,_,2_H11
NR-46735,NE192,1,P23,,transporter gate domain protein,SAUSA300_2520,H12,2,_,2_H12
,,,,,,,Plate 3,,_,_Plate 3
NR-46736,NE193,1,A2,,putative exotoxin 1,SAUSA300_1059,A1,3,_,3_A1
NR-46737,NE194,1,A4,,flavodoxin family protein,SAUSA300_0206,A2,3,_,3_A2
NR-46738,NE195,1,A6,pepF,oligoendopeptidase F,SAUSA300_1278,A3,3,_,3_A3
NR-46739,NE196,1,A8,,conserved hypothetical protein,SAUSA300_0466,A4,3,_,3_A4
NR-46740,NE197,1,A10,,amino acid permease,SAUSA300_2383,A5,3,_,3_A5
NR-46741,NE198,1,A12,ald,alanine dehydrogenase,SAUSA300_1655,A6,3,_,3_A6
NR-46742,NE199,1,A14,,cation efflux family protein,SAUSA300_2099,A7,3,_,3_A7
NR-46743,NE200,1,A16,,"iron compound ABC transporter, permease protein",SAUSA300_2134,A8,3,_,3_A8
NR-46744,NE201,1,A18,,"phiSLT ORF401-like protein, integrase",SAUSA300_1438,A9,3,_,3_A9
NR-46745,NE202,1,A20,,conserved hypothetical protein,SAUSA300_1902,A10,3,_,3_A10
NR-46746,NE203,1,A22,,conserved hypothetical protein,SAUSA300_0661,A11,3,_,3_A11
NR-46747,NE204,1,A24,,"hydrolase, alpha/beta hydrolase fold family",SAUSA300_1194,A12,3,_,3_A12
NR-46748,NE205,1,C2,,conserved hypothetical protein,SAUSA300_0732,B1,3,_,3_B1
NR-46749,NE206,1,C4,,amino acid permease family protein,SAUSA300_2538,B2,3,_,3_B2
NR-46750,NE207,1,C6,,putative membrane protein,SAUSA300_1864,B3,3,_,3_B3
NR-46751,NE208,1,C8,,conserved hypothetical protein,SAUSA300_0880,B4,3,_,3_B4
NR-46752,NE209,1,C10,,phiPVL ORF41-like protein,SAUSA300_1961,B5,3,_,3_B5
NR-46753,NE210,1,C12,,staphylococcal accessory regulator,SAUSA300_2247,B6,3,_,3_B6
NR-46754,NE211,1,C14,,amino acid permease,SAUSA300_1329,B7,3,_,3_B7
NR-46755,NE212,1,C16,,putative lysophospholipase,SAUSA300_1710,B8,3,_,3_B8
NR-46756,NE213,1,C18,glyA,serine hydroxymethyltransferase,SAUSA300_2067,B9,3,_,3_B9
NR-46757,NE214,1,C20,,"siderophore biosynthesis protein, IucC family""",SAUSA300_0123,B10,3,_,3_B10
NR-46758,NE215,1,C22,,putative lipoprotein,SAUSA300_0203,B11,3,_,3_B11
NR-46759,NE216,1,C24,,"dihydroxyacetone kinase, DhaK subunit",SAUSA300_0636,B12,3,_,3_B12
NR-46760,NE217,1,E2,pknB,protein kinase,SAUSA300_1113,C1,3,_,3_C1
NR-46761,NE218,1,E4,,sensor histidine kinase family protein,SAUSA300_0218,C2,3,_,3_C2
NR-46762,NE219,1,E6,,conserved hypothetical protein,SAUSA300_0579,C3,3,_,3_C3
NR-46763,NE220,1,E8,,conserved hypothetical protein,SAUSA300_0595,C4,3,_,3_C4
NR-46764,NE221,1,E10,,conserved hypothetical protein,SAUSA300_0046,C5,3,_,3_C5
NR-46765,NE222,1,E12,,"aminotransferase, class V",SAUSA300_1662,C6,3,_,3_C6
NR-46766,NE223,1,E14,,tRNA pseudouridine synthase A,SAUSA300_2173,C7,3,_,3_C7
NR-46767,NE224,1,E16,,conserved hypothetical protein,SAUSA300_0192,C8,3,_,3_C8
NR-46768,NE225,1,E18,,NADH-dependent FMN reductase,SAUSA300_0340,C9,3,_,3_C9
NR-46769,NE226,1,E20,amt,ammonium transporter,SAUSA300_1996,C10,3,_,3_C10
NR-46770,NE227,1,E22,,"peptide ABC transporter, peptide-bindingprotein",SAUSA300_0073,C11,3,_,3_C11
NR-46771,NE228,1,E24,,"ABC transporter, permease protein",SAUSA300_2357,C12,3,_,3_C12
NR-46772,NE229,1,G2,,conserved hypothetical protein,SAUSA300_1119,D1,3,_,3_D1
NR-46773,NE230,1,G4,,conserved hypothetical protein,SAUSA300_1071,D2,3,_,3_D2
NR-46774,NE231,1,G6,,sodium dependent transporter,SAUSA300_0432,D3,3,_,3_D3
NR-46775,NE232,1,G8,,pyridoxal-dependent decarboxylase,SAUSA300_0125,D4,3,_,3_D4
NR-46776,NE233,1,G10,glpD,glycerol-3-phosphate dehydrogenase,SAUSA300_1193,D5,3,_,3_D5
NR-46777,NE234,1,G12,cap5I,capsular polysaccharide biosynthesis proteinCap5I,SAUSA300_0160,D6,3,_,3_D6
NR-46778,NE235,1,G14,,conserved hypothetical protein,SAUSA300_0847,D7,3,_,3_D7
NR-46779,NE236,1,G16,,conserved hypothetical protein,SAUSA300_0428,D8,3,_,3_D8
NR-46780,NE237,1,G18,,conserved hypothetical protein,SAUSA300_1054,D9,3,_,3_D9
NR-46781,NE238,1,G20,,sulfite reductase flavoprotein,SAUSA300_2554,D10,3,_,3_D10
NR-46782,NE239,1,G22,putA,proline dehydrogenase,SAUSA300_1711,D11,3,_,3_D11
NR-46783,NE240,1,G24,tcaB,teicoplanin resistance associated membrane protein TcaB protein,SAUSA300_2301,D12,3,_,3_D12
NR-46784,NE241,1,I2,,"oxidoreductase, aldo/keto reductase family",SAUSA300_0674,E1,3,_,3_E1
NR-46785,NE242,1,I4,dprA,DNA protecting protein DprA,SAUSA300_1142,E2,3,_,3_E2
NR-46786,NE243,1,I6,polA,"phage related DNA polymerase, family A",SAUSA300_1423,E3,3,_,3_E3
NR-46787,NE244,1,I8,,conserved hypothetical phage protein,SAUSA300_1932,E4,3,_,3_E4
NR-46788,NE245,1,I10,epiE,lantibiotic epidermin immunity protein F,SAUSA300_1761,E5,3,_,3_E5
NR-46789,NE246,1,I12,,putative exonuclease,SAUSA300_1970,E6,3,_,3_E6
NR-46790,NE247,1,I14,,bacterioferritin comigratory protein,SAUSA300_1844,E7,3,_,3_E7
NR-46791,NE248,1,I16,,conserved hypothetical protein,SAUSA300_2626,E8,3,_,3_E8
NR-46792,NE249,1,I18,,glucose-inhibited division protein B,SAUSA300_2644,E9,3,_,3_E9
NR-46793,NE250,1,I20,,putative competence protein ComGB,SAUSA300_1503,E10,3,_,3_E10
NR-46794,NE251,1,I22,,polysaccharide biosynthesis protein,SAUSA300_0482,E11,3,_,3_E11
NR-46795,NE252,1,I24,,cation efflux family protein,SAUSA300_0171,E12,3,_,3_E12
NR-46796,NE253,1,K2,,HD domain protein,SAUSA300_2045,F1,3,_,3_F1
NR-46797,NE254,1,K4,ggt,gamma-glutamyltranspeptidase,SAUSA300_0204,F2,3,_,3_F2
NR-46798,NE255,1,K6,,putative membrane protein,SAUSA300_0876,F3,3,_,3_F3
NR-46799,NE256,1,K8,,putative pyridoxal phosphate-dependent acyltransferase,SAUSA300_0535,F4,3,_,3_F4
NR-46800,NE257,1,K10,,conserved hypothetical protein,SAUSA300_1623,F5,3,_,3_F5
NR-46801,NE258,1,K12,cls,cardiolipin synthetase,SAUSA300_2044,F6,3,_,3_F6
NR-46802,NE259,1,K14,pnpA,polyribopolyribonucleotide nucleotidyltransferase,SAUSA300_1167,F7,3,_,3_F7
NR-46803,NE260,1,K16,fadD,acyl-CoA dehydrogenase FadD,SAUSA300_0227,F8,3,_,3_F8
NR-46804,NE261,1,K18,,conserved hypothetical protein,SAUSA300_1898,F9,3,_,3_F9
NR-46805,NE262,1,K20,,"DNA-binding response regulator, LuxR family",SAUSA300_1220,F10,3,_,3_F10
NR-46806,NE263,1,K22,,putative acyl-CoA transferase FadX,SAUSA300_0229,F11,3,_,3_F11
NR-46807,NE264,1,K24,lipA,lipoic acid synthetase,SAUSA300_0829,F12,3,_,3_F12
