ID,Strain Name,Sanger Exact,Location,Locus Tag,Gene Abbrev.,Putative ORF Function
200,PW1179,+,lacZbp03q3G07,PA0106,coxA,"cytochrome c oxidase, subunit I"
201,PW1182,+,phoAwp09q4C12,PA0107,,conserved hypothetical protein
202,PW1181,+,lacZwp01q3E01,PA0107,,conserved hypothetical protein
203,PW1183,,lacZbp01q1C11,PA0108,coIII,"cytochrome c oxidase, subunit III"
204,PW1184,,lacZwp06q1B07,PA0108,coIII,"cytochrome c oxidase, subunit III"
205,PW1185,+,phoAwp06q3D11,PA0109,,hypothetical protein
206,PW1186,+,lacZwp06q4G09,PA0110,,hypothetical protein
207,PW1187,+,lacZwp07q2F03,PA0110,,hypothetical protein
208,PW1188,+,phoAbp02q2B01,PA0111,,hypothetical protein
209,PW1189,+,phoAbp02q3F03,PA0111,,hypothetical protein
210,PW1190,,phoAbp03q1H03,PA0112,,hypothetical protein
211,PW1191,+,phoAwp04q3D06,PA0112,,hypothetical protein
212,PW1193,+,phoAwp07q2E12,PA0113,,probable cytochrome c oxidase assembly factor
213,PW1192,+,lacZwp08q4B04,PA0113,,probable cytochrome c oxidase assembly factor
214,PW1195,+,phoAbp03q1H07,PA0114,,conserved hypothetical protein
215,PW1194,+,phoAbp01q1H10,PA0114,,conserved hypothetical protein
216,PW1196,+,lacZwp07q3H04,PA0117,,probable short chain dehydrogenase
217,PW1197,+,phoAwp09q2G07,PA0117,,probable short chain dehydrogenase
218,PW1198,+,phoAwp08q3E02,PA0118,,hypothetical protein
219,PW1199,+,lacZwp09q4F09,PA0119,,probable dicarboxylate transporter
220,PW1200,+,phoAwp09q3H11,PA0119,,probable dicarboxylate transporter
221,PW1201,+,lacZwp09q4C08,PA0120,,probable transcriptional regulator
222,PW1202,+,phoAwp03q2C10,PA0120,,probable transcriptional regulator
223,PW1203,+,phoAwp05q2B06,PA0121,,hypothetical protein
224,PW1204,+,phoAwp08q3E04,PA0121,,hypothetical protein
225,PW1206,+,phoAwp06q3D06,PA0122,,conserved hypothetical protein
226,PW1205,+,lacZbp03q2A06,PA0122,,conserved hypothetical protein
227,PW1208,+,lacZbp02q3F12,PA0126,,hypothetical protein
228,PW1209,+,phoAbp01q1B10,PA0126,,hypothetical protein
229,PW8204,+,phoAbp01q1E07,PA0126,,hypothetical protein
230,PW1211,+,phoAbp02q1F10,PA0127,,hypothetical protein
231,PW1210,+,lacZwp08q4G09,PA0127,,hypothetical protein
232,PW1212,+,lacZwp03q2D11,PA0129,gabP,gamma-aminobutyrate permease
233,PW1213,+,lacZwp07q2A03,PA0129,gabP,gamma-aminobutyrate permease
234,PW1214,+,phoAwp02q1F11,PA0129,gabP,gamma-aminobutyrate permease
235,PW1216,+,phoAwp04q1G01,PA0130,,probable aldehyde dehydrogenase
236,PW1215,+,phoAbp02q3F11,PA0130,,probable aldehyde dehydrogenase
237,PW1217,+,lacZbp01q2B09,PA0132,,beta-alanine--pyruvate transaminase
238,PW1218,+,lacZwp08q2B08,PA0132,,beta-alanine--pyruvate transaminase
239,PW1219,+,phoAwp01q3E04,PA0133,,probable transcriptional regulator
240,PW1220,+,phoAwp09q1D03,PA0133,,probable transcriptional regulator
241,PW1222,+,phoAwp09q1C10,PA0134,,probable guanine deaminase
242,PW1221,+,lacZwp03q1E04,PA0134,,probable guanine deaminase
243,PW1224,+,phoAwp09q1G10,PA0135,,hypothetical protein
244,PW1225,+,lacZwp05q4A05,PA0136,,probable ATP-binding component of ABC transporter
245,PW1226,+,lacZwp09q1F09,PA0136,,probable ATP-binding component of ABC transporter
246,PW1227,+,phoAwp01q4B08,PA0137,,probable permease of ABC transporter
247,PW1228,+,phoAwp09q4H07,PA0137,,probable permease of ABC transporter
248,PW1229,+,lacZwp05q1E02,PA0138,,probable permease of ABC transporter
249,PW1230,+,lacZwp09q1F03,PA0138,,probable permease of ABC transporter
250,PW1231,+,phoAbp01q3G05,PA0139,ahpC,alkyl hydroperoxide reductase subunit C
251,PW1232,+,phoAbp01q4H12,PA0139,ahpC,alkyl hydroperoxide reductase subunit C
252,PW1234,+,lacZwp05q2F05,PA0140,ahpF,alkyl hydroperoxide reductase subunit F
253,PW1233,+,lacZwp04q2G12,PA0140,ahpF,alkyl hydroperoxide reductase subunit F
254,PW1235,+,lacZbp02q4H01,PA0141,,conserved hypothetical protein
255,PW1236,+,lacZbp03q2E12,PA0141,,conserved hypothetical protein
256,PW8207,+,phoAwp01q4G12,PA0142,,hypothetical protein
257,PW1237,+,lacZbp01q1A03,PA0142,,hypothetical protein
258,PW1238,+,phoAbp02q3E01,PA0142,,hypothetical protein
259,PW1239,+,phoAwp03q3A06,PA0142,,hypothetical protein
260,PW1240,+,lacZbp03q2G04,PA0143,nuh,purine nucleosidase Nuh
261,PW10044,+,phoAbp03q2F11,PA0143,nuh,purine nucleosidase Nuh
262,PW1241,+,phoAbp03q2E11,PA0143,nuh,purine nucleosidase Nuh
263,PW1242,+,lacZwp09q4F05,PA0144,,hypothetical protein
264,PW1243,+,phoAwp09q3F05,PA0144,,hypothetical protein
265,PW1244,,phoAwp01q2A11,PA0145,,hypothetical protein
266,PW1245,+,lacZwp05q3D10,PA0146,,conserved hypothetical protein
267,PW1247,,phoAwp10q2H09,PA0147,,probable oxidoreductase
268,PW1250,+,phoAwp03q2F11,PA0148,,probable adenosine deaminase
269,PW1249,+,phoAwp01q3D03,PA0148,,probable adenosine deaminase
270,PW1248,+,lacZbp02q3C02,PA0148,,probable adenosine deaminase
271,PW1251,+,lacZwp01q1E07,PA0149,,"probable sigma-70 factor, ECF subfamily"
272,PW1252,+,phoAwp10q1H08,PA0149,,"probable sigma-70 factor, ECF subfamily"
273,PW1253,+,phoAwp01q3A06,PA0150,,probable transmembrane sensor
274,PW1254,+,phoAwp03q4C10,PA0150,,probable transmembrane sensor
275,PW1256,+,phoAwp10q2C07,PA0151,,probable TonB-dependent receptor
276,PW1255,+,phoAwp01q1H10,PA0151,,probable TonB-dependent receptor
277,PW1257,+,lacZwp08q1D04,PA0152,pcaQ,transcriptional regulator PcaQ
278,PW1258,+,phoAwp05q1G01,PA0152,pcaQ,transcriptional regulator PcaQ
279,PW1260,+,lacZwp05q1F07,PA0153,pcaH,"protocatechuate 3,4-dioxygenase, beta subunit"
280,PW1259,+,lacZwp03q1E02,PA0153,pcaH,"protocatechuate 3,4-dioxygenase, beta subunit"
281,PW1261,+,Supplemental_Plate2E02,PA0153,pcaH,"protocatechuate 3,4-dioxygenase, beta subunit"
282,PW1012,+,phoAwp08q1D08,PA0153,pcaH,"protocatechuate 3,4-dioxygenase, beta subunit"
283,PW1262,+,phoAwp01q3E03,PA0154,pcaG,"protocatechuate 3,4-dioxygenase, alpha subunit"
284,PW1264,+,lacZbp02q2B07,PA0155,pcaR,transcriptional regulator PcaR
285,PW1263,+,lacZbp02q2B03,PA0155,pcaR,transcriptional regulator PcaR
286,PW1265,+,phoAbp03q2E03,PA0156,triA,"Resistance-Nodulation-Cell Division (RND) triclosan efflux membrane fusion protein, TriA"
287,PW1266,+,phoAwp10q1B08,PA0156,triA,"Resistance-Nodulation-Cell Division (RND) triclosan efflux membrane fusion protein, TriA"
288,PW1267,,lacZwp04q2G09,PA0157,triB,"Resistance-Nodulation-Cell Division (RND) triclosan efflux membrane fusion protein, TriB"
289,PW1268,+,phoAwp05q3A09,PA0157,triB,"Resistance-Nodulation-Cell Division (RND) triclosan efflux membrane fusion protein, TriB"
290,PW1271,+,phoAbp03q3D04,PA0158,triC,"Resistance-Nodulation-Cell Division (RND) triclosan efflux transporter, TriC"
291,PW1269,+,lacZwp03q3E07,PA0158,triC,"Resistance-Nodulation-Cell Division (RND) triclosan efflux transporter, TriC"
292,PW1270,+,phoAbp02q2A02,PA0158,triC,"Resistance-Nodulation-Cell Division (RND) triclosan efflux transporter, TriC"
293,PW10196,+,phoAwp05q4F07,PA0158,triC,"Resistance-Nodulation-Cell Division (RND) triclosan efflux transporter, TriC"
294,PW1272,+,phoAwp07q4G12,PA0159,,probable transcriptional regulator
295,PW1273,+,phoAwp09q2G03,PA0159,,probable transcriptional regulator
296,PW1274,+,phoAwp08q4E02,PA0160,,hypothetical protein
297,PW1276,+,phoAwp08q3C12,PA0162,opdC,histidine porin OpdC
298,PW1275,+,lacZwp06q1A07,PA0162,opdC,histidine porin OpdC
299,PW1277,+,lacZwp02q2E10,PA0163,,probable transcriptional regulator
300,PW1278,+,lacZwp08q4E08,PA0164,,probable gamma-glutamyltranspeptidase
301,PW1279,+,phoAwp03q1D11,PA0164,,probable gamma-glutamyltranspeptidase
302,PW1281,+,phoAwp03q3D11,PA0165,,hypothetical protein
303,PW1280,+,phoAbp01q4C06,PA0165,,hypothetical protein
304,PW1283,+,phoAwp01q1F08,PA0166,,probable transporter
305,PW1284,+,lacZwp07q1F10,PA0167,,probable transcriptional regulator
306,PW1285,+,phoAwp06q1G03,PA0167,,probable transcriptional regulator
307,PW1287,+,phoAwp08q1A05,PA0168,,conserved hypothetical protein
308,PW1286,+,phoAwp05q4H04,PA0168,,conserved hypothetical protein
309,PW1288,+,phoAwp05q1F06,PA0169,,hypothetical protein
310,PW1289,+,phoAwp06q2G06,PA0170,,hypothetical protein
311,PW1290,+,phoAwp09q2A10,PA0170,,hypothetical protein
312,PW1292,+,phoAwp09q1G03,PA0171,,hypothetical protein
313,PW1291,+,phoAwp03q2G11,PA0171,,hypothetical protein
314,PW1293,+,lacZwp06q3F05,PA0172,,hypothetical protein
315,PW1294,+,phoAwp04q2C03,PA0172,,hypothetical protein
316,PW1296,+,phoAwp10q3B03,PA0173,,probable methylesterase
317,PW1295,+,phoAwp06q3D09,PA0173,,probable methylesterase
318,PW1298,+,phoAwp09q2G06,PA0174,,conserved hypothetical protein
319,PW1297,+,lacZwp04q2H03,PA0174,,conserved hypothetical protein
320,PW1299,+,phoAwp04q1D08,PA0175,,probable chemotaxis protein methyltransferase
321,PW1300,+,phoAwp04q1H07,PA0175,,probable chemotaxis protein methyltransferase
322,PW8200,+,phoAwp04q1E06,PA0175,,probable chemotaxis protein methyltransferase
323,PW1303,+,lacZwp09q2E11,PA0176,aer2,aerotaxis transducer Aer2
324,PW1302,+,lacZwp05q4F05,PA0176,aer2,aerotaxis transducer Aer2
325,PW1301,+,lacZwp03q3C12,PA0176,aer2,aerotaxis transducer Aer2
326,PW1304,+,Supplemental_Plate4C12,PA0176,aer2,aerotaxis transducer Aer2
327,PW1305,+,phoAwp03q4D05,PA0177,,probable purine-binding chemotaxis protein
328,PW1306,+,phoAwp09q1H07,PA0177,,probable purine-binding chemotaxis protein
329,PW1307,+,lacZwp07q2D10,PA0178,,probable two-component sensor
330,PW1308,+,phoAwp09q4D05,PA0178,,probable two-component sensor
331,PW1309,+,phoAwp10q1C12,PA0178,,probable two-component sensor
332,PW1312,+,phoAwp09q2F12,PA0180,,probable chemotaxis transducer
333,PW1311,+,phoAwp06q3D02,PA0180,,probable chemotaxis transducer
334,PW1313,+,phoAbp01q1F12,PA0181,,probable transcriptional regulator
335,PW1314,+,phoAwp10q1G11,PA0181,,probable transcriptional regulator
336,PW1316,+,phoAwp04q3C06,PA0182,,probable short-chain dehydrogenase
337,PW1315,+,lacZwp06q3E09,PA0182,,probable short-chain dehydrogenase
338,PW1318,+,phoAwp03q4B03,PA0183,atsA,arylsulfatase
339,PW1317,+,lacZwp08q2C06,PA0183,atsA,arylsulfatase
340,PW1320,+,phoAwp04q3H10,PA0184,,probable ATP-binding component of ABC transporter
341,PW1322,+,phoAwp01q1A11,PA0185,,probable permease of ABC transporter
342,PW1321,+,lacZwp02q4F07,PA0185,,probable permease of ABC transporter
343,PW1324,+,Supplemental_Plate3G01,PA0186,,probable binding protein component of ABC transporter
344,PW1323,+,lacZwp02q1C09,PA0186,,probable binding protein component of ABC transporter
345,PW1326,+,phoAwp09q2A05,PA0187,,hypothetical protein
346,PW1325,+,lacZwp09q4H09,PA0187,,hypothetical protein
347,PW1327,+,phoAwp08q1B11,PA0188,,hypothetical protein
348,PW1329,+,phoAwp08q1G11,PA0189,,probable porin
349,PW1328,+,lacZwp01q3D03,PA0189,,probable porin
350,PW1331,+,lacZwp02q4E06,PA0190,,probable acid phosphatase
351,PW1330,+,lacZwp01q2B05,PA0190,,probable acid phosphatase
352,PW1332,+,lacZwp06q4H12,PA0191,,probable transcriptional regulator
353,PW1333,+,phoAwp05q2B09,PA0191,,probable transcriptional regulator
354,PW3351,+,phoAwp05q2G04,PA0191,,probable transcriptional regulator
355,PW1334,+,lacZwp05q4E12,PA0192,,probable TonB-dependent receptor
356,PW1335,+,phoAwp08q1G09,PA0192,,probable TonB-dependent receptor
357,PW1337,+,phoAwp09q1A04,PA0193,,hypothetical protein
358,PW1336,+,phoAbp01q3H03,PA0193,,hypothetical protein
359,PW1889,+,Supplemental_Plate3G02,PA0194,,hypothetical protein
360,PW1338,,lacZwp06q3H06,PA0194,,hypothetical protein
361,PW1339,+,lacZwp07q3H06,PA0194,,hypothetical protein
362,PW9283,+,phoAwp08q4E06,PA0195,pntAA,"putative NAD(P) transhydrogenase, subunit alpha part 1"
363,PW1340,+,lacZbp02q3E03,PA0195,pntAA,"putative NAD(P) transhydrogenase, subunit alpha part 1"
