"Locus Tag","Gene Name","Product Description","GO Term"
"PA2912","PA2912","probable ATP-binding component of ABC transporter","ATP hydrolysis activity"
"PA3160","wzz","O-antigen chain length regulator","periplasmic side of plasma membrane"
"PA3160","wzz","O-antigen chain length regulator","Gram-negative-bacterium-type cell outer membrane assembly"
"PA3160","wzz","O-antigen chain length regulator","Gram-negative-bacterium-type cell wall"
"PA3160","wzz","O-antigen chain length regulator","O antigen biosynthetic process"
"PA3160","wzz","O-antigen chain length regulator","Gram-negative-bacterium-type cell outer membrane assembly"
"PA3160","wzz","O-antigen chain length regulator","lipopolysaccharide biosynthetic process"
"PA3160","wzz","O-antigen chain length regulator","Gram-negative-bacterium-type cell outer membrane assembly"
"PA3160","wzz","O-antigen chain length regulator","membrane"
"PA3221","csaA","CsaA protein","tRNA binding"
"PA3221","csaA","CsaA protein","secretion"
"PA3221","csaA","CsaA protein","protein folding"
"PA3308","hepA","RNA helicase HepA","helicase activity"
"PA3308","hepA","RNA helicase HepA","ATP-dependent chromatin remodeler activity"
"PA3308","hepA","RNA helicase HepA","regulation of transcription, DNA-templated"
"PA3308","hepA","RNA helicase HepA","ATP binding"
"PA3308","hepA","RNA helicase HepA","RNA metabolic process"
"PA3308","hepA","RNA helicase HepA","hydrolase activity, acting on acid anhydrides"
"PA3308","hepA","RNA helicase HepA","regulation of DNA-templated transcription"
"PA3346","hsbR","HptB-dependent secretion and biofilm regulator HsbR","phosphorelay response regulator activity"
"PA3346","hsbR","HptB-dependent secretion and biofilm regulator HsbR","phosphorelay signal transduction system"
"PA3532","PA3532","hypothetical protein","transmembrane transporter activity"
"PA3532","PA3532","hypothetical protein","transmembrane transport"
"PA3593","PA3593","probable acyl-CoA dehydrogenase","oxidoreductase activity, acting on the CH-CH group of donors"
"PA3596","PA3596","probable methylated-DNA--protein-cysteine methyltransferase","regulation of DNA-templated transcription"
"PA3596","PA3596","probable methylated-DNA--protein-cysteine methyltransferase","methyltransferase activity"
"PA3596","PA3596","probable methylated-DNA--protein-cysteine methyltransferase","sequence-specific DNA binding"
"PA3596","PA3596","probable methylated-DNA--protein-cysteine methyltransferase","regulation of transcription, DNA-templated"
"PA3596","PA3596","probable methylated-DNA--protein-cysteine methyltransferase","catalytic activity"
"PA3596","PA3596","probable methylated-DNA--protein-cysteine methyltransferase","zinc ion binding"
"PA3596","PA3596","probable methylated-DNA--protein-cysteine methyltransferase","DNA repair"
"PA3596","PA3596","probable methylated-DNA--protein-cysteine methyltransferase","DNA-binding transcription factor activity"
"PA3596","PA3596","probable methylated-DNA--protein-cysteine methyltransferase","DNA binding"
"PA3596","PA3596","probable methylated-DNA--protein-cysteine methyltransferase","methylated-DNA-[protein]-cysteine S-methyltransferase activity"
"PA3598","PA3598","conserved hypothetical protein","hydrolase activity"
"PA3598","PA3598","conserved hypothetical protein","nitrogen compound metabolic process"
"PA3602","PA3602","conserved hypothetical protein","glutamate synthase activity"
"PA3602","PA3602","conserved hypothetical protein","oxidoreductase activity, acting on the CH-NH2 group of donors"
"PA3602","PA3602","conserved hypothetical protein","glutamate biosynthetic process"
"PA3622","rpoS","sigma factor RpoS","DNA-templated transcription, initiation"
"PA3622","rpoS","sigma factor RpoS","regulation of transcription, DNA-templated"
"PA3622","rpoS","sigma factor RpoS","regulation of response to salt stress"
"PA3622","rpoS","sigma factor RpoS","regulation of DNA-templated transcription"
"PA3622","rpoS","sigma factor RpoS","regulation of cellular response to oxidative stress"
"PA3622","rpoS","sigma factor RpoS","positive regulation of chemotaxis"
"PA3622","rpoS","sigma factor RpoS","DNA binding"
"PA3622","rpoS","sigma factor RpoS","regulation of cellular response to heat"
"PA3622","rpoS","sigma factor RpoS","sigma factor activity"
"PA3622","rpoS","sigma factor RpoS","DNA-templated transcription initiation"
"PA3622","rpoS","sigma factor RpoS","positive regulation of single-species biofilm formation on inanimate substrate"
"PA3622","rpoS","sigma factor RpoS","DNA-binding transcription factor activity"
"PA3622","rpoS","sigma factor RpoS","negative regulation of secondary metabolite biosynthetic process"
"PA3622","rpoS","sigma factor RpoS","regulation of cell motility"
"PA3679","PA3679","hypothetical protein","iron ion binding"
"PA3679","PA3679","hypothetical protein","heme binding"
"PA3679","PA3679","hypothetical protein","monooxygenase activity"
"PA3679","PA3679","hypothetical protein","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
"PA3776","PA3776","probable transcriptional regulator","regulation of transcription, DNA-templated"
"PA3776","PA3776","probable transcriptional regulator","DNA-binding transcription factor activity"
"PA3776","PA3776","probable transcriptional regulator","regulation of DNA-templated transcription"
"PA4157","PA4157","probable transcriptional regulator","DNA binding"
"PA4157","PA4157","probable transcriptional regulator","regulation of transcription, DNA-templated"
"PA4157","PA4157","probable transcriptional regulator","regulation of DNA-templated transcription"
"PA4402","argJ","glutamate N-acetyltransferase","amino acid metabolic process"
"PA4402","argJ","glutamate N-acetyltransferase","arginine biosynthetic process"
"PA4402","argJ","glutamate N-acetyltransferase","NADH dehydrogenase (ubiquinone) activity"
"PA4402","argJ","glutamate N-acetyltransferase","cellular amino acid metabolic process"
"PA4402","argJ","glutamate N-acetyltransferase","glutamate N-acetyltransferase activity"
"PA4494","roxS","RoxS","phosphorelay sensor kinase activity"
"PA4494","roxS","RoxS","signal transduction"
"PA4494","roxS","RoxS","transferase activity, transferring phosphorus-containing groups"
"PA4494","roxS","RoxS","phosphorylation"
"PA4496","dppA1","probable binding protein component of ABC transporter","peptide binding"
"PA4496","dppA1","probable binding protein component of ABC transporter","dipeptide transmembrane transporter activity"
"PA4496","dppA1","probable binding protein component of ABC transporter","transmembrane transport"
"PA4496","dppA1","probable binding protein component of ABC transporter","ATP-binding cassette (ABC) transporter complex"
"PA4496","dppA1","probable binding protein component of ABC transporter","dipeptide transport"
"PA4507","PA4507","hypothetical protein","membrane"
"PA4507","PA4507","hypothetical protein","amino acid transport"
"PA4711","PA4711","hypothetical protein","2 iron, 2 sulfur cluster binding"
"PA4880","PA4880","probable bacterioferritin","intracellular iron ion homeostasis"
"PA4880","PA4880","probable bacterioferritin","cellular iron ion homeostasis"
"PA4880","PA4880","probable bacterioferritin","ferric iron binding"
"PA4880","PA4880","probable bacterioferritin","iron ion transport"
"PA5082","dguC","DguC","D-amino acid transport"
"PA5082","dguC","DguC","L-glutamate import"
"PA5082","dguC","DguC","ATP-binding cassette (ABC) transporter complex"
"PA5485","ampDh2","AmpDh2","regulation of beta-lactamase activity"
"PA5485","ampDh2","AmpDh2","N-acetylmuramoyl-L-alanine amidase activity"
"PA5485","ampDh2","AmpDh2","peptidoglycan catabolic process"
"PA5485","ampDh2","AmpDh2","Gram-negative-bacterium-type cell wall"
"PA5486","PA5486","conserved hypothetical protein","membrane"
"PA5496","nrdJb","class II (cobalamin-dependent) ribonucleotide-diphosphate reductase subunit, NrdJb","ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor"
