PA14 NR Set Plate (PO_PlateLabel96),PA14 NR Set Well (PO_PlateLocation96ADD),Parental Library Source Plate (WOR_PlateLabel),Parental Library Source Plate Well (WOR_PlateWellPosition),MutantID,PA14 Genomic Position,PA14 Genome BLASTN Bit Score,Unambiguous Insertion Location?,Locus Tag,"""Active"" GeneID","Tn insertion position within ""Active"" Gene (bp)","""Active"" Gene Length (bp)","PAO1 ortholog of ""Active"" gene","""Active"" Gene Name","""Active"" Gene Description","All predicted Gene Locus Names (Intragenic Position/Gene Length), ('*' indicates ""Active"" gene)",All Predicted GeneIDs,PAO1 Orthologs,PA14 NR Set Comments,library_position
ExMr_nr_mas_01_1,A11,eUsU_MrT7_154wor,H12,14784,3706174,1211,Y,PA14_41530,GID154,128,2451,PA1781,nirB,assimilatory nitrite reductase large subunit,PA14_41530(128/2451),GID154,PA1781,,
ExMr_nr_mas_01_1,A12,eUsU_MrT7_156wor,D12,14928,3855060,498,Y,PA14_43270,GID1690,157,1110,PA1643,,putative ATPase,"PA14_43270(157/1110), PA14_43260*(996/1350)","GID1690, GID3935",PA1643,,
ExMr_nr_mas_01_1,B1,eUsU_MrT7_157wor,D4,15016,5045967,238,Y,PA14_56640,GID1705,14,1167,PA4355,,putative MFS transporter,"PA14_56640(14/1167), PA14_56630*(132/1308)","GID1705, GID6645",PA4355,,
ExMr_nr_mas_01_1,B2,eUsU_MrT7_157wor,D11,15023,1374238,121,Y,PA14_16130,GID1391,57,1230,PA3733,,putative carnitine dehydratase,"PA14_16130(57/1230), PA14_16120*(1195/1299)","GID1391, GID6422",PA3733,,
ExMr_nr_mas_01_1,B3,eUsU_MrT7_157wor,E12,15036,6519428,246,Y,PA14_73200,GID4212,141,510,PA5551,,hypothetical,"PA14_73200(141/510), PA14_73210*(21/2178)","GID4212, GID6984",PA5551,,
ExMr_nr_mas_01_1,B4,eUsU_MrT7_161wor,A11,15371,3222046,825,Y,PA14_36170,GID786,139,1521,PA2207,,putative integral membrane protein,"PA14_36170(139/1521), PA14_36160*(1479/1704)","GID786, GID5927",PA2207,,
ExMr_nr_mas_01_1,B5,eUsU_MrT7_165wor,A11,15755,934758,351,Y,PA14_10800,GID2628,786,891,PA4109,ampR,transcriptional regulator AmpR,PA14_10800(786/891),GID2628,PA4109,,
ExMr_nr_mas_01_1,B6,eUsU_MrT7_165wor,B10,15766,443939,42.1,Y,PA14_05050,GID3934,252,594,PA0387,,putative Ham1 protein,PA14_05050(252/594),GID3934,PA0387,,
ExMr_nr_mas_01_1,B7,eUsU_MrT7_165wor,C11,15779,4463323,127,Y,PA14_50250,GID4885,3,381,PA1095,,hypothetical protein,PA14_50250(3/381),GID4885,PA1095,,
ExMr_nr_mas_01_1,B8,eUsU_MrT7_165wor,D2,15782,6123634,42.1,Y,PA14_68680,GID1183,1135,1320,PA5199,envZ,two-component sensor EnvZ,"PA14_68680(1135/1320), PA14_68690*(90/1539)","GID1183, GID6883",PA5199,,
ExMr_nr_mas_01_1,B9,eUsU_MrT7_166wor,D10,15886,4457315,85.7,Y,PA14_50140,GID517,212,1797,PA1101,fliF,Flagella M-ring outer membrane protein precursor,"PA14_50140(212/1797), PA14_50150*(1502/1755)","GID517, GID5605",PA1101,,
ExMr_nr_mas_01_1,B10,eUsU_MrT7_166wor,G5,15917,2770619,440,Y,PA14_31850,GID871,1180,1434,PA2529,,putative protease,"PA14_31850(1180/1434), PA14_31860*(201/1473)","GID871, GID6048",PA2529,,
ExMr_nr_mas_01_1,B11,eUsU_MrT7_195wor,A9,18633,6331217,200,Y,,,,,,,,PA14_71050*(27/1656),GID6940,,,
ExMr_nr_mas_01_1,B12,eUsU_MrT7_195wor,C11,18659,6429011,246,Y,PA14_72140,GID2344,824,945,PA5466,,putative permease,"PA14_72140(824/945), PA14_72120*(35/1371)","GID2344, GID6962",PA5466,,
ExMr_nr_mas_01_1,C1,eUsU_MrT7_233wor,E10,22330,5701772,1090,Y,PA14_63970,GID1538,1148,1155,PA4838,,putative membrane protein,"PA14_63970(1148/1155), PA14_63980*(223/351)","GID1538, GID6776",PA4838,,
ExMr_nr_mas_01_1,C2,eUsU_MrT7_233wor,E11,22331,6380316,993,Y,PA14_71630,GID1928,283,1029,PA5427,adhA,"alcohol dehydrogenase, zinc-containing",PA14_71630(283/1029),GID1928,PA5427,,
ExMr_nr_mas_01_1,C3,eUsU_MrT7_233wor,F7,22339,2254515,396,Y,PA14_25830,GID3901,219,570,PA2954,,conserved hypothetical protein,PA14_25830(219/570),GID3901,PA2954,,
ExMr_nr_mas_01_1,C4,eUsU_MrT7_233wor,F11,22343,1229287,957,Y,PA14_14420,GID6479,125,480,,,hypothetical protein,"PA14_14420(125/480), PA14_14410*(413/753)","GID6479, GID7270",,,
ExMr_nr_mas_01_1,C5,eUsU_MrT7_234wor,C6,22398,5045903,264,Y,PA14_56620,GID5108,301,303,PA4354,,putative transcriptional regulator,"PA14_56620(301/303), PA14_56630*(68/1308)","GID5108, GID6645",PA4354,,
ExMr_nr_mas_01_1,C6,eUsU_MrT7_234wor,E8,22424,3912229,287,Y,PA14_43950,GID1618,1100,1167,PA1588,sucC,succinyl-CoA synthetase beta subunit,"PA14_43950(1100/1167), PA14_43960*(41/1164)","GID1618, GID5739",PA1588,,
ExMr_nr_mas_01_1,C7,eUsU_MrT7_234wor,G6,22446,4182660,938,Y,PA14_46960,GID587,1406,1674,PA1338,ggt,gamma-glutamyltranspeptidase precursor,"PA14_46960(1406/1674), PA14_46940*(356/2601)","GID587, GID5675",PA1338,,
ExMr_nr_mas_01_1,C8,eUsU_MrT7_234wor,H1,22453,2589936,940,Y,PA14_29920,GID3955,528,549,PA2644,nuoI,NADH Dehydrogenase I chain I,"PA14_29920(528/549), PA14_29910*(114/186)","GID3955, GID6120",PA2644,,
ExMr_nr_mas_01_1,C9,eUsU_MrT7_235wor,E11,22523,5242015,1273,Y,PA14_58850,GID4515,444,450,PA4536,,conserved hypothetical protein,PA14_58850(444/450),GID4515,PA4536,,
ExMr_nr_mas_01_1,C10,eUsU_MrT7_235wor,F1,22525,601432,805,Y,PA14_06950,GID814,15,1491,PA0533,,"putative transcriptional regulator, LuxR family",PA14_06950(15/1491),GID814,PA0533,,
ExMr_nr_mas_01_1,C11,eUsU_MrT7_235wor,F7,22531,4657968,622,Y,PA14_52510,GID4870,214,375,PA0908,,hypothetical protein,PA14_52510(214/375),GID4870,PA0908,,
ExMr_nr_mas_01_1,C12,eUsU_MrT7_235wor,F11,22535,5817715,466,Y,PA14_65280,GID1478,664,1203,PA4942,hflK,protease subunit HflK,"PA14_65280(664/1203), PA14_65290*(513/1764)","GID1478, GID6802",PA4942,,
ExMr_nr_mas_01_1,D1,eUsU_MrT7_236wor,D3,22599,6387373,281,Y,PA14_71700,GID3454,91,675,PA5433,,"putative acetyltransferase, GNAT family",PA14_71700(91/675),GID3454,PA5433,,
ExMr_nr_mas_01_1,D2,eUsU_MrT7_236wor,E5,22613,4733530,636,Y,PA14_53380,GID1346,455,1221,PA0842,,probable glycosyl transferase,PA14_53380(455/1221),GID1346,PA0842,,
ExMr_nr_mas_01_1,D3,eUsU_MrT7_236wor,F7,22627,2344885,299,Y,PA14_26960,GID3027,38,798,PA2871,,putative acyl-CoA thioesterase,"PA14_26960(38/798), PA14_26950*(1397/1470)","GID3027, GID6190",PA2871,,
ExMr_nr_mas_01_1,D4,eUsU_MrT7_236wor,F10,22630,2204599,222,Y,PA14_25220,GID3675,414,630,PA3003,,conserved hypothetical protein,PA14_25220(414/630),GID3675,PA3003,,
ExMr_nr_mas_01_1,D5,eUsU_MrT7_237wor,A9,22665,4214283,595,Y,PA14_47300,GID1730,25,1116,PA1310,phnW,2-aminoethylphosphonate:pyruvate aminotransferase,PA14_47300(25/1116),GID1730,PA1310,,
ExMr_nr_mas_01_1,D6,eUsU_MrT7_237wor,C3,22683,1030882,454,Y,PA14_11900,GID505,242,1740,PA4016,,hypothetical protein,PA14_11900(242/1740),GID505,PA4016,,
ExMr_nr_mas_01_1,D7,eUsU_MrT7_237wor,C10,22690,3910845,1378,Y,PA14_43920,GID1330,120,1314,PA1590,braB,branched chain amino acid transporter,PA14_43920(120/1314),GID1330,PA1590,,
ExMr_nr_mas_01_1,D8,eUsU_MrT7_237wor,D7,22699,6379593,454,Y,PA14_71620,GID4383,94,492,PA5426,purE,"phosphoribosylaminoimidazole carboxylase, catalytic subunit","PA14_71620(94/492), PA14_71610*(558/996)","GID4383, GID6950",PA5426,,
ExMr_nr_mas_01_1,D9,eUsU_MrT7_237wor,F11,22727,2830054,940,Y,PA14_32590,GID523,261,1770,PA2478,,probable thiol:disulfide interchange protein,PA14_32590(261/1770),GID523,PA2478,,
ExMr_nr_mas_01_1,D10,eUsU_MrT7_237wor,H6,22746,4089681,58,Y,PA14_45980,GID4553,134,432,PA1428,,putative acetyltransferase,PA14_45980(134/432),GID4553,PA1428,,
ExMr_nr_mas_01_1,D11,eUsU_MrT7_238wor,F12,22824,4853442,1259,Y,PA14_54750,GID5523,109,168,,,hypothetical protein,PA14_54750(109/168),GID5523,,,
ExMr_nr_mas_01_1,D12,eUsU_MrT7_239wor,G10,22930,3722675,1142,Y,PA14_41710,GID791,214,1527,PA1767,,putative membrain protein,"PA14_41710(214/1527), PA14_41700*(1164/1593)","GID791, GID5782",PA1767,,
ExMr_nr_mas_01_1,E1,eUsU_MrT7_239wor,H11,22943,336584,272,Y,PA14_03760,GID1151,258,1386,PA0287,,putative sodium:solute symporter,"PA14_03760(258/1386), PA14_03740*(466/1767), PA14_03750*(1186/1476)","GID1151, GID7088, GID7089",PA0287,,
ExMr_nr_mas_01_1,E2,eUsU_MrT7_240wor,G10,23026,1314923,963,Y,PA14_15540,GID6443,558,1623,,,,"PA14_15540(558/1623), PA14_15550*(460/474)","GID6443, GID6442",,,
ExMr_nr_mas_01_1,E3,eUsU_MrT7_240wor,H1,23029,5815748,323,Y,PA14_65250,GID1548,244,1185,PA4939,,putative ATP phosphoribosyltransferase,PA14_65250(244/1185),GID1548,PA4939,Unknown source. Mutant was picked from well eUsU_MrT7_240:H1 but resequencing of the transposon junction of a purified colony showed an unknown mutant interrupting GID96. This mutant should not be used as a GID1548 mutant.,
ExMr_nr_mas_01_1,E4,exU3_MrT7_49wor,A1,4609,6059555,416,Y,PA14_67850,GID3185,218,753,PA5138,,"putative ABC-type amino acid transport protein, periplasmic component",PA14_67850(218/753),GID3185,PA5138,,
ExMr_nr_mas_01_1,E5,exU3_MrT7_49wor,D5,4649,3380122,995,Y,PA14_37880,GID450,260,1809,PA2058,,putative binding protein component of ABC transporter,PA14_37880(260/1809),GID450,PA2058,,
ExMr_nr_mas_01_1,E6,exU3_MrT7_49wor,F5,4673,2110238,236,Y,PA14_24290,GID334,1882,1965,PA3082,gbt,glycine betaine transmethylase,"PA14_24290(1882/1965), PA14_24280*(144/2502)","GID334, GID6251",PA3082,,
ExMr_nr_mas_01_1,E7,exU3_MrT7_49wor,G4,4684,3863930,924,Y,PA14_43380,GID362,1819,2073,PA1634,kdpB,"potassium-transporting ATPase, B chain","PA14_43380(1819/2073), PA14_43390*(150/2178)","GID362, GID5751",PA1634,,
ExMr_nr_mas_01_1,E8,exU3_MrT7_49wor,H10,4702,4699269,977,Y,PA14_53000,GID4861,180,357,PA0871,phhB,pterin-4-alpha-carbinolamine dehydratase,PA14_53000(180/357),GID4861,PA0871,,
ExMr_nr_mas_01_1,E9,exU3_MrT7_49wor,H12,4704,1026667,319,Y,,,,,,,,"PA14_11840*(281/1374), PA14_11850*(262/1062)","GID6551, GID6550",,,
ExMr_nr_mas_01_1,E10,exU3_MrT7_50wor,G11,4787,2301240,248,Y,PA14_26400,GID3060,62,774,PA2912,,putative ATP-binding component of ABC transporter,PA14_26400(62/774),GID3060,PA2912,,
ExMr_nr_mas_01_1,E11,exU3_MrT7_51wor,A4,4804,2133357,898,Y,,,,,,,,"PA14_24450*(3314/3528), PA14_24460*(733/2283), PA14_24470*(1574/2220)","GID6248, GID6247, GID6246",,,
ExMr_nr_mas_01_1,E12,exU3_MrT7_51wor,A11,4811,3636134,200,Y,PA14_40730,GID1977,7,1041,PA1839,,putative Fe-S-cluster redox enzyme,"PA14_40730(7/1041), PA14_40720*(1245/1479)","GID1977, GID5808",PA1839,,
ExMr_nr_mas_01_1,F1,exU3_MrT7_51wor,D4,4840,3618139,272,Y,PA14_40510,GID796,43,1443,PA1856,ccoN-2,"putative cytochrome c oxidase, cbb3-type, subunit","PA14_40510(43/1443), PA14_40500*(1263/1545)","GID796, GID5813",PA1856,Unknown source. This mutant was picked from well exU3_MrT7_51wor:B5 but resequencing of the transposon junction of a purified colony showed that it was identical to mutant 38814.,
ExMr_nr_mas_01_1,F2,exU3_MrT7_51wor,E1,4849,1409198,611,Y,PA14_16460,GID3479,148,690,PA3705,,CheW domain protein,PA14_16460(148/690),GID3479,PA3705,,
ExMr_nr_mas_01_1,F3,exU3_MrT7_51wor,E2,4850,396888,371,Y,PA14_04430,GID3147,77,756,PA0339,,conserved hypothetical protein,PA14_04430(77/756),GID3147,PA0339,,
ExMr_nr_mas_01_1,F4,exU3_MrT7_51wor,E9,4857,262889,69.9,Y,PA14_02990,GID1060,142,1326,PA0241,,putative MFS transporter,PA14_02990(142/1326),GID1060,PA0241,,
ExMr_nr_mas_01_1,F5,exU3_MrT7_51wor,H3,4887,6241220,172,Y,PA14_69950,GID457,1175,1860,PA5299,,putative acetyl-CoA hydrolase/transferase,"PA14_69950(1175/1860), PA14_69960*(584/2331)","GID457, GID6914",PA5299,,
ExMr_nr_mas_01_1,F6,exU3_MrT7_51wor,H7,4891,6368316,670,Y,PA14_71470,GID1254,30,1251,PA5416,soxB,"sarcosine oxidase, beta subunit",PA14_71470(30/1251),GID1254,PA5416,,
ExMr_nr_mas_01_1,F7,exU3_MrT7_52wor,B8,4916,4293941,779,Y,PA14_48230,GID5647,83,102,,,hypothetical protein,"PA14_48230(83/102), PA14_48220*(950/1620)","GID5647, GID5648",,,
ExMr_nr_mas_01_1,F8,exU3_MrT7_52wor,B11,4919,2671418,541,Y,PA14_30800,GID3885,70,603,PA2575,,putative nitroreductase,"PA14_30800(70/603), PA14_30780*(1515/1653)","GID3885, GID6105",PA2575,,
ExMr_nr_mas_01_1,F9,exU3_MrT7_52wor,E3,4947,4825312,385,Y,PA14_54410,GID2295,136,951,PA0764,mucB,negative regulator for alginate biosynthesis MucB,PA14_54410(136/951),GID2295,PA0764,This mutant was originally assigned to well F10.,
ExMr_nr_mas_01_1,F10,exU3_MrT7_52wor,D3,4935,5277685,464,Y,PA14_59240,GID1657,243,1125,,pilL2,type IV B pilus protein,PA14_59240(243/1125),GID1657,,This mutant was originally assigned to well F9,
ExMr_nr_mas_01_1,F11,exU3_MrT7_52wor,G4,4972,5759930,278,Y,PA14_64670,GID3845,128,615,PA4893,ureG,urease accessory protein UreG,PA14_64670(128/615),GID3845,PA4893,,
ExMr_nr_mas_01_1,F12,exU3_MrT7_52wor,H8,4988,1554388,188,Y,PA14_18110,GID2222,10,924,PA3571,mmsR, transcriptional regulator MmsR,PA14_18110(10/924),GID2222,PA3571,,
ExMr_nr_mas_01_1,G1,exU3_MrT7_53wor,F11,5063,4694527,1154,Y,PA14_52940,GID257,1123,2196,PA0875,,conserved hypothetical protein,"PA14_52940(1123/2196), PA14_52950*(746/1959)","GID257, GID5561",PA0875,,
ExMr_nr_mas_01_1,G2,exU3_MrT7_53wor,G4,5068,5441083,256,Y,PA14_60990,GID1130,21,1362,PA4609,radA,DNA repair protein RadA,"PA14_60990(21/1362), PA14_60980*(430/1797)","GID1130, GID6716",PA4609,,
ExMr_nr_mas_01_1,G3,exU3_MrT7_53wor,H8,5084,3766287,1160,Y,PA14_42230,GID226,18,2295,PA1726,bglX,periplasmic beta-glucosidase,PA14_42230(18/2295),GID226,PA1726,,
ExMr_nr_mas_01_1,G4,exU3_MrT7_54wor,B7,5107,1959306,83.8,Y,PA14_22510,GID5488,28,393,,,hypothetical,PA14_22510(28/393),GID5488,,,
ExMr_nr_mas_01_1,G5,exU3_MrT7_54wor,C2,5114,5972980,280,Y,,,,,,,,"PA14_66870*(92/504), PA14_66860*(1474/1629)","GID6843, GID6844",,,
ExMr_nr_mas_01_1,G6,exU3_MrT7_54wor,D2,5126,2786482,490,Y,PA14_31990,GID964,1103,1455,PA2521,czcB,"cobalt/zinc/cadmium efflux RND transporter, membrane fusion protein, CzcB famil","PA14_31990(1103/1455), PA14_31980*(389/1686)","GID964, GID6043",PA2521,,
ExMr_nr_mas_01_1,G7,exU3_MrT7_54wor,E6,5142,4875224,918,Y,PA14_54930,GID5516,214,3342,,,putative non-ribosomal peptide synthetase,PA14_54930(214/3342),GID5516,,,
ExMr_nr_mas_01_1,G8,exU3_MrT7_54wor,F8,5156,400261,856,Y,PA14_04490,GID2848,263,798,PA0343,,conserved hypothetical protein,PA14_04490(263/798),GID2848,PA0343,,
ExMr_nr_mas_01_1,G9,exU3_MrT7_54wor,G4,5164,1545526,1025,Y,PA14_17990,GID4534,58,471,PA3580,,conserved hypothetical protein,PA14_17990(58/471),GID4534,PA3580,,
ExMr_nr_mas_01_1,G10,exU3_MrT7_54wor,G12,5172,4559296,829,Y,PA14_51310,GID5293,30,252,PA1006,,conserved hypothetical protein,PA14_51310(30/252),GID5293,PA1006,,
ExMr_nr_mas_01_1,G11,exU3_MrT7_54wor,H2,5174,4639146,196,Y,PA14_52270,GID2139,562,990,PA0927,ldhA,D-lactate dehydrogenase (fermentative),PA14_52270(562/990),GID2139,PA0927,,
ExMr_nr_mas_01_1,G12,exU3_MrT7_54wor,H4,5176,3738460,735,Y,PA14_41840,GID2809,283,804,PA1756,cysH,3'-phosphoadenosine-5'-phosphosulfate reductase,PA14_41840(283/804),GID2809,PA1756,,
ExMr_nr_mas_01_1,H1,exU3_MrT7_54wor,H5,5177,4794404,450,Y,PA14_54070,GID5538,91,210,,,conserved hypothetical protein,"PA14_54070(91/210), PA14_54060*(165/3831)","GID5538, GID5539",,,
ExMr_nr_mas_01_1,H2,exU3_MrT7_55wor,B9,5205,2978663,414,Y,PA14_33650,GID2,15,7347,PA2399,pvdD,pyoverdine synthetase D,PA14_33650(15/7347),GID2,PA2399,,
ExMr_nr_mas_01_1,H3,exU3_MrT7_55wor,C2,5210,2143951,1263,Y,PA14_24530,GID2121,170,990,PA3060,,hypothetical protein,"PA14_24530(170/990), PA14_24520*(782/969)","GID2121, GID6245",PA3060,,
ExMr_nr_mas_01_1,H4,exU3_MrT7_56wor,A11,5291,3877932,597,Y,PA14_43540,GID2729,223,861,PA1622,,putative hydrolase,PA14_43540(223/861),GID2729,PA1622,,
ExMr_nr_mas_01_1,H5,exU3_MrT7_56wor,B3,5295,2719869,1215,Y,PA14_31270,GID6067,143,1164,,,conserved hypothetical protein,PA14_31270(143/1164),GID6067,,,
ExMr_nr_mas_01_1,H6,exU3_MrT7_56wor,B5,5297,3546424,852,Y,PA14_39800,GID4265,22,507,PA1912,,"probable sigma-70 factor, ECF subfamily",PA14_39800(22/507),GID4265,PA1912,,
ExMr_nr_mas_01_1,H7,exU3_MrT7_56wor,B12,5304,4201271,781,Y,PA14_47140,GID249,197,2199,PA1322,,putative TonB-dependent receptor,PA14_47140(197/2199),GID249,PA1322,,
ExMr_nr_mas_01_1,H8,exU3_MrT7_56wor,D1,5317,4912702,771,Y,PA14_55330,GID3131,95,747,PA0695,,hypothetical protein,PA14_55330(95/747),GID3131,PA0695,,
ExMr_nr_mas_01_1,H9,exU3_MrT7_56wor,F7,5347,6214807,628,Y,PA14_69670,GID1398,121,1248,PA5277,lysA,diaminopimelate decarboxylase,"PA14_69670(121/1248), PA14_69650*(1092/1365)","GID1398, GID6905",PA5277,,
ExMr_nr_mas_01_1,H10,exU3_MrT7_56wor,G6,5358,1832131,323,Y,PA14_21180,GID2708,719,891,PA3312,,putative 3-hydroxyisobutyrate dehydrogenase,PA14_21180(719/891),GID2708,PA3312,,
ExMr_nr_mas_01_1,H11,exU3_MrT7_57wor,C1,5401,2515408,309,Y,PA14_29070,GID2811,266,864,PA2712,,putative membrane protein,PA14_29070(266/864),GID2811,PA2712,,
ExMr_nr_mas_01_1,H12,exU3_MrT7_57wor,E2,5426,254332,375,Y,PA14_02890,GID2716,541,834,PA0234,,conserved hypothetical protein,"PA14_02890(541/834), PA14_02880*(354/1434)","GID2716, GID7058",PA0234,,
ExMr_nr_mas_01_2,A1,exU3_MrT7_57wor,E3,5427,6244225,932,Y,PA14_69990,GID1829,784,1074,PA5302,dadX,catabolic alanine racemase,"PA14_69990(784/1074), PA14_70000*(54/1338)","GID1829, GID6915",PA5302,,
ExMr_nr_mas_01_2,A2,exU3_MrT7_57wor,F3,5439,1408226,954,Y,PA14_16450,GID1349,437,1269,PA3706,,putative chemotaxis protein methyltransferase CheR,PA14_16450(437/1269),GID1349,PA3706,,
ExMr_nr_mas_01_2,A3,exU3_MrT7_57wor,G9,5457,4993735,561,Y,PA14_55930,GID2714,265,912,PA4305,,putative pilus assembly protein,PA14_55930(265/912),GID2714,PA4305,,
ExMr_nr_mas_01_2,A4,exU3_MrT7_58wor,A12,5484,186611,363,Y,PA14_02050,GID614,920,1617,PA0164,,putative gamma-glutamyltranspeptidase,"PA14_02050(920/1617), PA14_02040*(842/1785)","GID614, GID7036",PA0164,,
ExMr_nr_mas_01_2,A5,exU3_MrT7_58wor,C5,5501,3887993,311,Y,PA14_43670,GID415,48,1956,PA1611,,putative sensor/response regulator hybrid,PA14_43670(48/1956),GID415,PA1611,,
ExMr_nr_mas_01_2,A6,exU3_MrT7_59wor,B11,5591,3494001,1011,Y,PA14_39240,GID2021,167,1023,PA1954,,conserved hypothetical protein,PA14_39240(167/1023),GID2021,PA1954,,
ExMr_nr_mas_01_2,A7,exU3_MrT7_59wor,F6,5634,3142931,646,Y,PA14_35340,GID2296,320,951,PA2261,,putative 2-ketogluconate kinase,PA14_35340(320/951),GID2296,PA2261,,
ExMr_nr_mas_01_2,A8,exU3_MrT7_59wor,F7,5635,5518559,93.7,Y,PA14_61870,GID1217,807,1239,PA4677,,conserved hypothetical protein,PA14_61870(807/1239),GID1217,PA4677,,
ExMr_nr_mas_01_2,A9,exU3_MrT7_59wor,G3,5643,3366763,248,Y,PA14_37760,GID1661,158,1164,PA2068,,putative MFS transporter,PA14_37760(158/1164),GID1661,PA2068,,
ExMr_nr_mas_01_2,A10,exU3_MrT7_59wor,H3,5655,71235,884,Y,PA14_00710,GID4530,124,456,PA0059,osmC,osmotically inducible protein OsmC,PA14_00710(124/456),GID4530,PA0059,,
ExMr_nr_mas_01_2,A11,exU3_MrT7_59wor,H9,5661,1533637,262,Y,PA14_17860,GID813,361,1533,PA3590,,putative 3-hydroxyacyl-CoA dehydrogenase,PA14_17860(361/1533),GID813,PA3590,,
ExMr_nr_mas_01_2,A12,exU3_MrT7_59wor,H10,5662,4210416,105,Y,PA14_47260,GID1108,844,1359,PA1313,,putative MFS transporter,PA14_47260(844/1359),GID1108,PA1313,,
ExMr_nr_mas_01_2,B1,exU3_MrT7_60wor,C3,5691,2573481,1366,Y,PA14_29710,GID5122,209,309,PA2659,,conserved hypothetical protein,PA14_29710(209/309),GID5122,PA2659,,
ExMr_nr_mas_01_2,B2,exU3_MrT7_60wor,C9,5697,4055522,587,Y,PA14_45590,GID261,1670,2262,PA1458,,putative two-component sensor,"PA14_45590(1670/2262), PA14_45600*(452/2238)","GID261, GID5704",PA1458,,
ExMr_nr_mas_01_2,B3,exU3_MrT7_60wor,D8,5708,3747191,827,Y,PA14_41990,GID5400,62,219,PA1744,,hypothetical protein,PA14_41990(62/219),GID5400,PA1744,,
ExMr_nr_mas_01_2,B4,exU3_MrT7_60wor,H3,5751,5637649,105,Y,PA14_63160,GID998,966,1434,PA4777,pmrB,two-component sensor,PA14_63160(966/1434),GID998,PA4777,,
ExMr_nr_mas_01_2,B5,exU3_MrT7_61wor,A2,5762,195250,498,Y,PA14_02150,GID347,359,1992,PA0172,,putative serine phosphatase,"PA14_02150(359/1992), PA14_02160*(1520/1995)","GID347, GID7039",PA0172,,
ExMr_nr_mas_01_2,B6,exU3_MrT7_61wor,A4,5764,3150491,533,Y,PA14_35430,GID2141,305,987,PA2254,pvcA,pyoverdine biosynthesis protein PvcA,PA14_35430(305/987),GID2141,PA2254,,
ExMr_nr_mas_01_2,B7,exU3_MrT7_61wor,E3,5811,5071576,305,Y,PA14_56900,GID1411,184,1197,PA4376,pncB2,nicotinate phosphoribosyltransferase,PA14_56900(184/1197),GID1411,PA4376,,
ExMr_nr_mas_01_2,B8,exU3_MrT7_61wor,E4,5812,2058183,1013,Y,PA14_23670,GID2967,782,804,PA3127,,putative bleomycin resistance protein,"PA14_23670(782/804), PA14_23660*(53/915)","GID2967, GID6265",PA3127,,
