"Locus Tag","Gene Name","Product Description","GO Term"
"PA14_07170","epd","D-erythrose 4-phosphate dehydrogenase","erythrose-4-phosphate dehydrogenase activity"
"PA14_07170","epd","D-erythrose 4-phosphate dehydrogenase","pyridoxal phosphate biosynthetic process"
"PA14_07170","epd","D-erythrose 4-phosphate dehydrogenase","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"
"PA14_08460","PA14_08460","hypothetical protein","nitronate monooxygenase activity"
"PA14_09730","PA14_09730","dihydrodipicolinate synthase","lyase activity"
"PA14_09990","PA14_09990","acetyltransferase","transferase activity, transferring acyl groups other than amino-acyl groups"
"PA14_09990","PA14_09990","acetyltransferase","acyltransferase activity, transferring groups other than amino-acyl groups"
"PA14_10320","PA14_10320","transcriptional regulator","DNA-binding transcription factor activity"
"PA14_10320","PA14_10320","transcriptional regulator","regulation of DNA-templated transcription"
"PA14_10320","PA14_10320","transcriptional regulator","regulation of transcription, DNA-templated"
"PA14_10970","PA14_10970","flavodoxin reductase","iron-sulfur cluster binding"
"PA14_10970","PA14_10970","flavodoxin reductase","oxidoreductase activity"
"PA14_11190","PA14_11190","aldehyde dehydrogenase","oxidoreductase activity"
"PA14_11190","PA14_11190","aldehyde dehydrogenase","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"
"PA14_11340","PA14_11340","thioredoxin","protein-disulfide reductase activity"
"PA14_11340","PA14_11340","thioredoxin","protein disulfide oxidoreductase activity"
"PA14_11340","PA14_11340","thioredoxin","protein binding"
"PA14_12010","proA","gamma-glutamyl phosphate reductase","proline biosynthetic process"
"PA14_12010","proA","gamma-glutamyl phosphate reductase","glutamate-5-semialdehyde dehydrogenase activity"
"PA14_12010","proA","gamma-glutamyl phosphate reductase","oxidoreductase activity"
"PA14_12010","proA","gamma-glutamyl phosphate reductase","NADP binding"
"PA14_12010","proA","gamma-glutamyl phosphate reductase","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"
"PA14_12300","PA14_12300","hypothetical protein","flavin adenine dinucleotide binding"
"PA14_12410","thiD","phosphomethylpyrimidine kinase","thiamine biosynthetic process"
"PA14_12410","thiD","phosphomethylpyrimidine kinase","phosphomethylpyrimidine kinase activity"
"PA14_12490","PA14_12490","AMP nucleosidase","catalytic activity"
"PA14_12490","PA14_12490","AMP nucleosidase","nucleoside metabolic process"
"PA14_12490","PA14_12490","AMP nucleosidase","AMP salvage"
"PA14_12490","PA14_12490","AMP nucleosidase","AMP nucleosidase activity"
"PA14_13410","prfC","peptide chain release factor 3","cytoplasm"
"PA14_13410","prfC","peptide chain release factor 3","GTP binding"
"PA14_13410","prfC","peptide chain release factor 3","GTPase activity"
"PA14_13410","prfC","peptide chain release factor 3","translational termination"
"PA14_16500","wspR","two-component response regulator","phosphorelay signal transduction system"
"PA14_16550","PA14_16550","TetR family transcriptional regulator","DNA binding"
"PA14_16660","PA14_16660","metal-transporting P-type ATPase","ATP hydrolysis activity"
"PA14_16660","PA14_16660","metal-transporting P-type ATPase","cation transport"
"PA14_16660","PA14_16660","metal-transporting P-type ATPase","ATP binding"
"PA14_16660","PA14_16660","metal-transporting P-type ATPase","monoatomic cation transport"
"PA14_16660","PA14_16660","metal-transporting P-type ATPase","membrane"
"PA14_16660","PA14_16660","metal-transporting P-type ATPase","ATPase-coupled cation transmembrane transporter activity"
"PA14_16660","PA14_16660","metal-transporting P-type ATPase","metal ion binding"
"PA14_16660","PA14_16660","metal-transporting P-type ATPase","transporter activity"
"PA14_16660","PA14_16660","metal-transporting P-type ATPase","ATPase activity"
"PA14_16660","PA14_16660","metal-transporting P-type ATPase","ATPase-coupled monoatomic cation transmembrane transporter activity"
"PA14_16660","PA14_16660","metal-transporting P-type ATPase","nucleotide binding"
"PA14_16740","PA14_16740","hypothetical protein","catalytic activity"
"PA14_17170","PA14_17170","hypothetical protein","unfolded protein binding"
"PA14_17530","recA","recombinase A","single-stranded DNA binding"
"PA14_17530","recA","recombinase A","DNA repair"
"PA14_17530","recA","recombinase A","ATP hydrolysis activity"
"PA14_17530","recA","recombinase A","ATPase activity"
"PA14_17530","recA","recombinase A","ATP binding"
"PA14_17690","PA14_17690","hypothetical protein","oxidoreductase activity, acting on the CH-NH2 group of donors"
"PA14_17690","PA14_17690","hypothetical protein","glutamate biosynthetic process"
"PA14_17690","PA14_17690","hypothetical protein","glutamate synthase activity"
"PA14_17700","rpmE2","50S ribosomal protein L31","translation"
"PA14_17700","rpmE2","50S ribosomal protein L31","structural constituent of ribosome"
"PA14_17700","rpmE2","50S ribosomal protein L31","ribosome"
"PA14_18160","PA14_18160","oxidoreductase","oxidoreductase activity"
"PA14_18160","PA14_18160","oxidoreductase","zinc ion binding"
"PA14_18350","PA14_18350","bifunctional UDP-glucuronic acid decarboxylase/UDP-4-amino-4-deoxy-L-arabinose formyltransferase","carboxy-lyase activity"
"PA14_18350","PA14_18350","bifunctional UDP-glucuronic acid decarboxylase/UDP-4-amino-4-deoxy-L-arabinose formyltransferase","biosynthetic process"
"PA14_18350","PA14_18350","bifunctional UDP-glucuronic acid decarboxylase/UDP-4-amino-4-deoxy-L-arabinose formyltransferase","catalytic activity"
"PA14_18350","PA14_18350","bifunctional UDP-glucuronic acid decarboxylase/UDP-4-amino-4-deoxy-L-arabinose formyltransferase","hydroxymethyl-, formyl- and related transferase activity"
"PA14_18520","algK","alginate biosynthetic protein AlgK","protein binding"
"PA14_18690","PA14_18690","peroxidase","antioxidant activity"
"PA14_18690","PA14_18690","peroxidase","peroxiredoxin activity"
"PA14_18690","PA14_18690","peroxidase","alkyl hydroperoxide reductase activity"
"PA14_18690","PA14_18690","peroxidase","oxidoreductase activity"
"PA14_18790","PA14_18790","outer membrane efflux protein","membrane"
"PA14_18790","PA14_18790","outer membrane efflux protein","transmembrane transporter activity"
"PA14_18790","PA14_18790","outer membrane efflux protein","transmembrane transport"
"PA14_18790","PA14_18790","outer membrane efflux protein","efflux transmembrane transporter activity"
"PA14_19520","PA14_19520","ABC transporter ATP-binding protein","ATP hydrolysis activity"
"PA14_19520","PA14_19520","ABC transporter ATP-binding protein","ATPase activity"
"PA14_19520","PA14_19520","ABC transporter ATP-binding protein","ATP binding"
"PA14_19850","PA14_19850","transcriptional regulator","DNA binding"
"PA14_19850","PA14_19850","transcriptional regulator","regulation of DNA-templated transcription"
"PA14_19850","PA14_19850","transcriptional regulator","protein binding"
"PA14_19850","PA14_19850","transcriptional regulator","regulation of transcription, DNA-templated"
"PA14_20030","hasD","transport protein HasD","ATPase activity"
"PA14_20030","hasD","transport protein HasD","transmembrane transport"
"PA14_20030","hasD","transport protein HasD","membrane"
"PA14_20030","hasD","transport protein HasD","type I protein secretion system complex"
"PA14_20030","hasD","transport protein HasD","ABC-type transporter activity"
"PA14_20030","hasD","transport protein HasD","ATP hydrolysis activity"
"PA14_20030","hasD","transport protein HasD","protein secretion by the type I secretion system"
"PA14_20030","hasD","transport protein HasD","ABC-type transmembrane transporter activity"
"PA14_20030","hasD","transport protein HasD","ATP binding"
"PA14_20200","nosZ","nitrous-oxide reductase","protein binding"
"PA14_20200","nosZ","nitrous-oxide reductase","cytochrome-c oxidase activity"
"PA14_20200","nosZ","nitrous-oxide reductase","nitrous-oxide reductase activity"
"PA14_20200","nosZ","nitrous-oxide reductase","copper ion binding"
"PA14_20200","nosZ","nitrous-oxide reductase","membrane"
"PA14_20200","nosZ","nitrous-oxide reductase","calcium ion binding"
"PA14_22310","PA14_22310","hypothetical protein","membrane"
"PA14_22730","cpxS","CpxS","phosphorelay sensor kinase activity"
"PA14_22730","cpxS","CpxS","membrane"
"PA14_22730","cpxS","CpxS","response to antibiotic"
"PA14_22730","cpxS","CpxS","phosphorylation"
"PA14_22730","cpxS","CpxS","transferase activity, transferring phosphorus-containing groups"
"PA14_22730","cpxS","CpxS","signal transduction"
"PA14_22830","PA14_22830","SUA5/yciO/yrdC family:Sua5/YciO/YrdC/YwlC family protein","double-stranded RNA binding"
"PA14_23460","orfN","group 4 glycosyl transferase","phosphotransferase activity, for other substituted phosphate groups"
"PA14_23460","orfN","group 4 glycosyl transferase","transferase activity, transferring glycosyl groups"
"PA14_23460","orfN","group 4 glycosyl transferase","lipopolysaccharide biosynthetic process"
"PA14_23460","orfN","group 4 glycosyl transferase","membrane"
"PA14_23460","orfN","group 4 glycosyl transferase","glycosyltransferase activity"
"PA14_24940","PA14_24940","hypothetical protein","flavin adenine dinucleotide binding"
"PA14_24940","PA14_24940","hypothetical protein","alkylglycerone-phosphate synthase activity"
"PA14_24940","PA14_24940","hypothetical protein","lipid biosynthetic process"
"PA14_24940","PA14_24940","hypothetical protein","catalytic activity"
"PA14_25020","PA14_25020","ABC transporter ATP-binding protein","ATP hydrolysis activity"
"PA14_25020","PA14_25020","ABC transporter ATP-binding protein","DNA binding"
"PA14_25020","PA14_25020","ABC transporter ATP-binding protein","ATP binding"
"PA14_25020","PA14_25020","ABC transporter ATP-binding protein","DNA repair"
"PA14_25020","PA14_25020","ABC transporter ATP-binding protein","ATPase activity"
"PA14_25110","topA","DNA topoisomerase I","DNA topoisomerase activity"
"PA14_25110","topA","DNA topoisomerase I","chromosome"
"PA14_25110","topA","DNA topoisomerase I","DNA topological change"
"PA14_25110","topA","DNA topoisomerase I","DNA topoisomerase type I (single strand cut, ATP-independent) activity"
"PA14_25110","topA","DNA topoisomerase I","DNA binding"
"PA14_25880","etfA","electron transfer flavoprotein subunit alpha","flavin adenine dinucleotide binding"
"PA14_25880","etfA","electron transfer flavoprotein subunit alpha","electron transfer activity"
"PA14_26670","PA14_26670","biotin carboxylase","ATP binding"
"PA14_26700","PA14_26700","acyl-CoA dehydrogenase","oxidoreductase activity, acting on the CH-CH group of donors"
"PA14_26700","PA14_26700","acyl-CoA dehydrogenase","citronellyl-CoA dehydrogenase activity"
"PA14_26700","PA14_26700","acyl-CoA dehydrogenase","flavin adenine dinucleotide binding"
"PA14_26700","PA14_26700","acyl-CoA dehydrogenase","terpene catabolic process"
"PA14_26910","PA14_26910","hypothetical protein","ATP hydrolysis activity"
"PA14_26910","PA14_26910","hypothetical protein","ATP binding"
"PA14_26910","PA14_26910","hypothetical protein","ATPase activity"
"PA14_27230","PA14_27230","MarR family transcriptional regulator","DNA-binding transcription factor activity"
"PA14_27230","PA14_27230","MarR family transcriptional regulator","regulation of DNA-templated transcription"
"PA14_27230","PA14_27230","MarR family transcriptional regulator","regulation of transcription, DNA-templated"
"PA14_27780","PA14_27780","ABC transporter permease","ABC-type transmembrane transporter activity"
"PA14_27780","PA14_27780","ABC transporter permease","transmembrane transport"
"PA14_27780","PA14_27780","ABC transporter permease","membrane"
"PA14_27780","PA14_27780","ABC transporter permease","ATP-binding cassette (ABC) transporter complex"
"PA14_27780","PA14_27780","ABC transporter permease","ABC-type transporter activity"
"PA14_28280","PA14_28280","PhzF family phenazine biosynthesis protein","catalytic activity"
"PA14_28280","PA14_28280","PhzF family phenazine biosynthesis protein","biosynthetic process"
"PA14_28840","PA14_28840","helicase","ATP binding"
"PA14_28840","PA14_28840","helicase","nucleic acid binding"
"PA14_29920","nuoI","NADH dehydrogenase subunit I","4 iron, 4 sulfur cluster binding"
"PA14_29920","nuoI","NADH dehydrogenase subunit I","membrane"
"PA14_29920","nuoI","NADH dehydrogenase subunit I","oxidoreductase activity, acting on NAD(P)H"
"PA14_30540","PA14_30540","periplasmic aliphatic sulfonate-binding protein","ATPase-coupled transmembrane transporter activity"
"PA14_30540","PA14_30540","periplasmic aliphatic sulfonate-binding protein","membrane"
"PA14_30650","gacA","response regulator GacA","regulation of single-species biofilm formation"
"PA14_30650","gacA","response regulator GacA","DNA binding"
"PA14_30650","gacA","response regulator GacA","phosphorelay signal transduction system"
"PA14_30650","gacA","response regulator GacA","positive regulation of single-species biofilm formation on inanimate substrate"
"PA14_30650","gacA","response regulator GacA","regulation of DNA-templated transcription"
"PA14_30650","gacA","response regulator GacA","pathogenesis"
"PA14_30650","gacA","response regulator GacA","obsolete pathogenesis"
"PA14_30650","gacA","response regulator GacA","regulation of transcription, DNA-templated"
"PA14_30910","PA14_30910","conjugal transfer ATPase TrbE","ATPase activity"
"PA14_30910","PA14_30910","conjugal transfer ATPase TrbE","ATP binding"
"PA14_30910","PA14_30910","conjugal transfer ATPase TrbE","ATP hydrolysis activity"
"PA14_31480","PA14_31480","AraC family transcriptional regulator","sequence-specific DNA binding"
"PA14_31480","PA14_31480","AraC family transcriptional regulator","DNA-binding transcription factor activity"
"PA14_31480","PA14_31480","AraC family transcriptional regulator","regulation of DNA-templated transcription"
"PA14_31480","PA14_31480","AraC family transcriptional regulator","regulation of transcription, DNA-templated"
"PA14_32160","antA","anthranilate dioxygenase large subunit","2 iron, 2 sulfur cluster binding"
"PA14_32160","antA","anthranilate dioxygenase large subunit","cellular metabolic process"
"PA14_32160","antA","anthranilate dioxygenase large subunit","iron ion binding"
"PA14_34710","PA14_34710","major facilitator transporter","transmembrane transport"
"PA14_34710","PA14_34710","major facilitator transporter","transmembrane transporter activity"
"PA14_35330","PA14_35330","2-ketogluconate transporter","transmembrane transport"
"PA14_35330","PA14_35330","2-ketogluconate transporter","transmembrane transporter activity"
"PA14_35330","PA14_35330","2-ketogluconate transporter","membrane"
"PA14_35880","PA14_35880","gamma-aminobutyraldehyde dehydrogenase","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"
"PA14_35880","PA14_35880","gamma-aminobutyraldehyde dehydrogenase","oxidoreductase activity"
"PA14_36000","prpR","propionate catabolism operon regulator","ATP hydrolysis activity"
"PA14_36000","prpR","propionate catabolism operon regulator","sequence-specific DNA binding"
"PA14_36000","prpR","propionate catabolism operon regulator","ATP binding"
"PA14_36000","prpR","propionate catabolism operon regulator","regulation of transcription, DNA-templated"
"PA14_36000","prpR","propionate catabolism operon regulator","regulation of DNA-templated transcription"
"PA14_36000","prpR","propionate catabolism operon regulator","transcription factor binding"
"PA14_36000","prpR","propionate catabolism operon regulator","ATPase activity"
"PA14_37100","PA14_37100","dehydrogenase","flavin adenine dinucleotide binding"
"PA14_37100","PA14_37100","dehydrogenase","oxidoreductase activity, acting on CH-OH group of donors"
"PA14_37120","PA14_37120","LysR family transcriptional regulator","DNA-binding transcription factor activity"
"PA14_37120","PA14_37120","LysR family transcriptional regulator","regulation of transcription, DNA-templated"
"PA14_37120","PA14_37120","LysR family transcriptional regulator","regulation of DNA-templated transcription"
"PA14_37560","PA14_37560","asparagine synthetase, glutamine-hydrolysing","asparagine synthase (glutamine-hydrolyzing) activity"
"PA14_37560","PA14_37560","asparagine synthetase, glutamine-hydrolysing","asparagine biosynthetic process"
"PA14_37630","PA14_37630","amino acid permease","transmembrane transport"
"PA14_37630","PA14_37630","amino acid permease","membrane"
"PA14_38530","fahA","fumarylacetoacetase","aromatic amino acid metabolic process"
"PA14_38530","fahA","fumarylacetoacetase","aromatic amino acid family metabolic process"
"PA14_38530","fahA","fumarylacetoacetase","fumarylacetoacetase activity"
"PA14_38530","fahA","fumarylacetoacetase","catalytic activity"
"PA14_38660","PA14_38660","CoA transferase, subunit A","CoA-transferase activity"
"PA14_40160","PA14_40160","NADH-ubiquinone/plastoquinone oxidoreductase","NADH dehydrogenase (ubiquinone) activity"
"PA14_40160","PA14_40160","NADH-ubiquinone/plastoquinone oxidoreductase","oxidoreductase activity, acting on NAD(P)H"
"PA14_40450","str","streptomycin 3''-phosphotransferase","secondary metabolic process"
"PA14_40450","str","streptomycin 3''-phosphotransferase","protein phosphorylation"
"PA14_40450","str","streptomycin 3''-phosphotransferase","phosphotransferase activity, alcohol group as acceptor"
"PA14_41430","PA14_41430","hypothetical protein","tRNA modification"
"PA14_41430","PA14_41430","hypothetical protein","tRNA-(2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine)-hydroxylase activity"
"PA14_41520","PA14_41520","serine/threonine-protein kinase","protein phosphorylation"
"PA14_41520","PA14_41520","serine/threonine-protein kinase","protein kinase activity"
"PA14_41520","PA14_41520","serine/threonine-protein kinase","ATP binding"
"PA14_42640","pscT","translocation protein in type III secretion","protein targeting"
"PA14_42640","pscT","translocation protein in type III secretion","membrane"
"PA14_44480","pemB","PemB","protein secretion by the type III secretion system"
"PA14_44700","alkB2","alkane-1 monooxygenase","oxidoreductase activity"
"PA14_44700","alkB2","alkane-1 monooxygenase","lipid metabolic process"
"PA14_45000","gcl","glyoxylate carboligase","tartronate-semialdehyde synthase activity"
"PA14_45000","gcl","glyoxylate carboligase","magnesium ion binding"
"PA14_45000","gcl","glyoxylate carboligase","thiamine pyrophosphate binding"
"PA14_45000","gcl","glyoxylate carboligase","catalytic activity"
"PA14_45000","gcl","glyoxylate carboligase","glyoxylate catabolic process"
"PA14_45250","PA14_45250","transcriptional regulator","DNA binding"
"PA14_45250","PA14_45250","transcriptional regulator","regulation of DNA-templated transcription"
"PA14_45250","PA14_45250","transcriptional regulator","regulation of transcription, DNA-templated"
"PA14_46700","PA14_46700","hypothetical protein","membrane"
"PA14_47240","PA14_47240","transcriptional regulator","DNA binding"
"PA14_47560","PA14_47560","MFS transporter","transmembrane transporter activity"
"PA14_47560","PA14_47560","MFS transporter","transmembrane transport"
"PA14_49840","dgt","deoxyguanosinetriphosphate triphosphohydrolase","dGTP catabolic process"
"PA14_49840","dgt","deoxyguanosinetriphosphate triphosphohydrolase","dGTPase activity"
"PA14_49840","dgt","deoxyguanosinetriphosphate triphosphohydrolase","magnesium ion binding"
"PA14_49840","dgt","deoxyguanosinetriphosphate triphosphohydrolase","triphosphoric monoester hydrolase activity"
"PA14_51040","PA14_51040","oxidoreductase","oxidoreductase activity"
"PA14_52180","relA","GTP pyrophosphokinase","guanosine tetraphosphate metabolic process"
"PA14_52190","rumA","23S rRNA 5-methyluridine methyltransferase","RNA binding"
"PA14_52190","rumA","23S rRNA 5-methyluridine methyltransferase","RNA processing"
"PA14_52190","rumA","23S rRNA 5-methyluridine methyltransferase","RNA methyltransferase activity"
"PA14_52190","rumA","23S rRNA 5-methyluridine methyltransferase","S-adenosylmethionine-dependent methyltransferase activity"
"PA14_53500","PA14_53500","hypothetical protein","membrane"
"PA14_54980","ybtQ","ABC-type transporter protein ybtQ","ATPase activity"
"PA14_54980","ybtQ","ABC-type transporter protein ybtQ","transmembrane transport"
"PA14_54980","ybtQ","ABC-type transporter protein ybtQ","ATP binding"
"PA14_54980","ybtQ","ABC-type transporter protein ybtQ","membrane"
"PA14_54980","ybtQ","ABC-type transporter protein ybtQ","ABC-type transporter activity"
"PA14_54980","ybtQ","ABC-type transporter protein ybtQ","ATP hydrolysis activity"
"PA14_54980","ybtQ","ABC-type transporter protein ybtQ","obsolete pathogenesis"
"PA14_54980","ybtQ","ABC-type transporter protein ybtQ","pathogenesis"
"PA14_54980","ybtQ","ABC-type transporter protein ybtQ","ABC-type transmembrane transporter activity"
"PA14_55020","PA14_55020","ABC transporter permease","membrane"
"PA14_55020","PA14_55020","ABC transporter permease","transmembrane transporter activity"
"PA14_56620","PA14_56620","hypothetical protein","transcription regulatory region sequence-specific DNA binding"
"PA14_56620","PA14_56620","hypothetical protein","DNA-binding transcription factor activity"
"PA14_56620","PA14_56620","hypothetical protein","transcription cis-regulatory region binding"
"PA14_56620","PA14_56620","hypothetical protein","regulation of single-species biofilm formation on inanimate substrate"
"PA14_56620","PA14_56620","hypothetical protein","regulation of DNA-templated transcription"
"PA14_56620","PA14_56620","hypothetical protein","regulation of transcription, DNA-templated"
"PA14_56870","PA14_56870","hypothetical protein","protein binding"
"PA14_58600","PA14_58600","hypothetical protein","protein binding"
"PA14_60230","comL","competence protein ComL","protein binding"
"PA14_60500","fklB","peptidyl-prolyl cis-trans isomerase FklB","protein folding"
"PA14_60500","fklB","peptidyl-prolyl cis-trans isomerase FklB","peptidyl-prolyl cis-trans isomerase activity"
"PA14_62470","PA14_62470","sugar fermentation stimulation protein A","DNA binding"
"PA14_62480","PA14_62480","hypothetical protein","pyridoxal phosphate binding"
"PA14_62480","PA14_62480","hypothetical protein","biosynthetic process"
"PA14_62810","secG","preprotein translocase subunit SecG","P-P-bond-hydrolysis-driven protein transmembrane transporter activity"
"PA14_62810","secG","preprotein translocase subunit SecG","membrane"
"PA14_62810","secG","preprotein translocase subunit SecG","protein secretion"
"PA14_62810","secG","preprotein translocase subunit SecG","protein-transporting ATPase activity"
"PA14_63070","PA14_63070","GntR family transcriptional regulator","regulation of DNA-templated transcription"
"PA14_63070","PA14_63070","GntR family transcriptional regulator","regulation of transcription, DNA-templated"
"PA14_63070","PA14_63070","GntR family transcriptional regulator","DNA-binding transcription factor activity"
"PA14_63090","lldD","L-lactate dehydrogenase","oxidoreductase activity"
"PA14_63090","lldD","L-lactate dehydrogenase","FMN binding"
"PA14_63090","lldD","L-lactate dehydrogenase","lactate metabolic process"
"PA14_63090","lldD","L-lactate dehydrogenase","lactate dehydrogenase activity"
"PA14_63190","PA14_63190","hypothetical protein","membrane"
"PA14_63310","PA14_63310","hypothetical protein","methyltransferase activity"
"PA14_63310","PA14_63310","hypothetical protein","S-adenosylmethionine-dependent methyltransferase activity"
"PA14_63330","PA14_63330","glycerolphosphodiesterase","phosphoric diester hydrolase activity"
"PA14_63330","PA14_63330","glycerolphosphodiesterase","lipid metabolic process"
"PA14_65410","orn","oligoribonuclease","3'-5'-exoribonuclease activity"
"PA14_65410","orn","oligoribonuclease","3'-5'-RNA exonuclease activity"
"PA14_65410","orn","oligoribonuclease","nucleic acid binding"
"PA14_66630","pilP","type 4 fimbrial biogenesis protein PilP","type IV pilus-dependent motility"
"PA14_66630","pilP","type 4 fimbrial biogenesis protein PilP","type IV pilus assembly"
"PA14_66630","pilP","type 4 fimbrial biogenesis protein PilP","type IV pilus biogenesis"
"PA14_66770","hslV","ATP-dependent protease peptidase subunit","proteolysis involved in cellular protein catabolic process"
"PA14_66770","hslV","ATP-dependent protease peptidase subunit","proteolysis involved in protein catabolic process"
"PA14_66770","hslV","ATP-dependent protease peptidase subunit","threonine-type endopeptidase activity"
"PA14_66770","hslV","ATP-dependent protease peptidase subunit","proteasome core complex"
"PA14_66770","hslV","ATP-dependent protease peptidase subunit","proteolysis"
"PA14_66770","hslV","ATP-dependent protease peptidase subunit","HslUV protease complex"
"PA14_67220","tle5b","type VI secretion phospholipase D effector  Tle5b","catalytic activity"
"PA14_67500","gloA3","lactoylglutathione lyase","zinc ion binding"
"PA14_67500","gloA3","lactoylglutathione lyase","metal ion binding"
"PA14_67500","gloA3","lactoylglutathione lyase","methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione"
"PA14_67500","gloA3","lactoylglutathione lyase","lactoylglutathione lyase activity"
"PA14_67970","PA14_67970","hypothetical protein","oxidoreductase activity"
"PA14_68260","PA14_68260","c4-dicarboxylate-binding protein","transmembrane transport"
"PA14_68260","PA14_68260","c4-dicarboxylate-binding protein","outer membrane-bounded periplasmic space"
"PA14_68280","PA14_68280","dicarboxylate transporter","C4-dicarboxylate transport"
"PA14_68440","PA14_68440","oxidoreductase","formate dehydrogenase (NAD+) activity"
"PA14_68440","PA14_68440","oxidoreductase","molybdenum ion binding"
"PA14_68440","PA14_68440","oxidoreductase","oxidoreductase activity"
"PA14_68440","PA14_68440","oxidoreductase","4 iron, 4 sulfur cluster binding"
"PA14_68750","PA14_68750","multiple drug resistance protein MarC","membrane"
"PA14_68770","argE","acetylornithine deacetylase","deacetylase activity"
"PA14_68770","argE","acetylornithine deacetylase","hydrolase activity"
"PA14_68770","argE","acetylornithine deacetylase","arginine biosynthetic process"
"PA14_68920","PA14_68920","LysR family transcriptional regulator","DNA-binding transcription factor activity"
"PA14_68920","PA14_68920","LysR family transcriptional regulator","regulation of transcription, DNA-templated"
"PA14_68920","PA14_68920","LysR family transcriptional regulator","regulation of DNA-templated transcription"
"PA14_68930","PA14_68930","permease","transmembrane transport"
"PA14_68930","PA14_68930","permease","transmembrane transporter activity"
"PA14_70330","sphC","SphC","oxidoreductase activity, acting on the CH-OH group of donors, oxygen as acceptor"
"PA14_70330","sphC","SphC","D-arabinono-1,4-lactone oxidase activity"
"PA14_70330","sphC","SphC","flavin adenine dinucleotide binding"
"PA14_70330","sphC","SphC","membrane"
"PA14_70690","glcD","glycolate oxidase subunit GlcD","(S)-2-hydroxy-acid oxidase activity"
"PA14_70690","glcD","glycolate oxidase subunit GlcD","catalytic activity"
"PA14_70690","glcD","glycolate oxidase subunit GlcD","glycolate oxidase complex"
