"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"pag00780","pag00780","Biotin metabolism - Pseudomonas aeruginosa LESB58","1/44","19/2004",0.345406634162488,0.687631419780811,0.687631419780811,"PLES_35211",1
"pag00190","pag00190","Oxidative phosphorylation - Pseudomonas aeruginosa LESB58","2/44","57/2004",0.358082238035048,0.687631419780811,0.687631419780811,"PLES_38601/PLES_24591",2
"pag00360","pag00360","Phenylalanine metabolism - Pseudomonas aeruginosa LESB58","1/44","20/2004",0.359916512296921,0.687631419780811,0.687631419780811,"PLES_47201",1
"pag02024","pag02024","Quorum sensing - Pseudomonas aeruginosa LESB58","3/44","99/2004",0.371730546758124,0.687631419780811,0.687631419780811,"PLES_52951/PLES_39821/PLES_39841",3
"pag00760","pag00760","Nicotinate and nicotinamide metabolism - Pseudomonas aeruginosa LESB58","1/44","22/2004",0.387999494607093,0.687631419780811,0.687631419780811,"PLES_37251",1
"pag00630","pag00630","Glyoxylate and dicarboxylate metabolism - Pseudomonas aeruginosa LESB58","2/44","62/2004",0.397998051377563,0.687631419780811,0.687631419780811,"PLES_39121/PLES_28521",2
"pag00785","pag00785","Lipoic acid metabolism - Pseudomonas aeruginosa LESB58","1/44","24/2004",0.4148771632228,0.687631419780811,0.687631419780811,"PLES_28521",1
"pag01110","pag01110","Biosynthesis of secondary metabolites - Pseudomonas aeruginosa LESB58","10/44","414/2004",0.425096863096361,0.687631419780811,0.687631419780811,"PLES_22261/PLES_31661/PLES_40851/PLES_02421/PLES_38601/PLES_20951/PLES_35211/PLES_28521/PLES_33961/PLES_06961",10
"pag03010","pag03010","Ribosome - Pseudomonas aeruginosa LESB58","2/44","66/2004",0.42915042216701,0.687631419780811,0.687631419780811,"PLES_12381/PLES_49501",2
"pag00380","pag00380","Tryptophan metabolism - Pseudomonas aeruginosa LESB58","1/44","27/2004",0.453043775749801,0.687631419780811,0.687631419780811,"PLES_47201",1
"pag00540","pag00540","Lipopolysaccharide biosynthesis - Pseudomonas aeruginosa LESB58","1/44","29/2004",0.477124930370586,0.687631419780811,0.687631419780811,"PLES_00051",1
"pag02020","pag02020","Two-component system - Pseudomonas aeruginosa LESB58","6/44","252/2004",0.48362534666057,0.687631419780811,0.687631419780811,"PLES_48731/PLES_42231/PLES_36931/PLES_46791/PLES_12771/PLES_12811",6
"pag01501","pag01501","beta-Lactam resistance - Pseudomonas aeruginosa LESB58","1/44","31/2004",0.500168905711724,0.687631419780811,0.687631419780811,"PLES_47721",1
"pag00400","pag00400","Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas aeruginosa LESB58","1/44","32/2004",0.511315671119065,0.687631419780811,0.687631419780811,"PLES_02421",1
"pag03070","pag03070","Bacterial secretion system - Pseudomonas aeruginosa LESB58","2/44","89/2004",0.590288690812636,0.767375298056427,0.767375298056427,"PLES_36611/PLES_36321",2
"pag01250","pag01250","Biosynthesis of nucleotide sugars - Pseudomonas aeruginosa LESB58","1/44","45/2004",0.635886948229662,0.779865762984786,0.779865762984786,"PLES_00051",1
"pag02040","pag02040","Flagellar assembly - Pseudomonas aeruginosa LESB58","1/44","46/2004",0.644065087217868,0.779865762984786,0.779865762984786,"PLES_42261",1
"pag01232","pag01232","Nucleotide metabolism - Pseudomonas aeruginosa LESB58","1/44","48/2004",0.659886414833281,0.779865762984786,0.779865762984786,"PLES_33921",1
"pag00260","pag00260","Glycine, serine and threonine metabolism - Pseudomonas aeruginosa LESB58","1/44","56/2004",0.716578467745302,0.821957654178435,0.821957654178435,"PLES_28521",1
"pag00230","pag00230","Purine metabolism - Pseudomonas aeruginosa LESB58","1/44","69/2004",0.789601265710271,0.879841410362874,0.879841410362874,"PLES_33921",1
"pag01230","pag01230","Biosynthesis of amino acids - Pseudomonas aeruginosa LESB58","2/44","144/2004",0.837475821009248,0.907265472760018,0.907265472760018,"PLES_02421/PLES_33961",2
"pag01120","pag01120","Microbial metabolism in diverse environments - Pseudomonas aeruginosa LESB58","4/44","295/2004",0.907431041700165,0.945416755192426,0.945416755192427,"PLES_33921/PLES_37251/PLES_47201/PLES_21311",4
"pag01200","pag01200","Carbon metabolism - Pseudomonas aeruginosa LESB58","1/44","123/2004",0.940296768657967,0.945416755192426,0.945416755192427,"PLES_28521",1
"pag02010","pag02010","ABC transporters - Pseudomonas aeruginosa LESB58","2/44","201/2004",0.945416755192426,0.945416755192426,0.945416755192427,"PLES_29651/PLES_52951",2
