LESB_Locus,Gene,Essentiality,Control,Condition,Replicates,LESB_Description,Gene Name,Product Description,Accession,GO Term,Namespace
PALES_05791,folB,always essential,4,4,4,dihydroneopterin aldolase,folB,dihydroneopterin aldolase,GO:0006760,folic acid-containing compound metabolic process,biological_process
PALES_06041,rpe,always essential,4,4,4,ribulose-phosphate 3-epimerase,rpe,ribulose-phosphate 3-epimerase,GO:0004750,ribulose-phosphate 3-epimerase activity,molecular_function
PALES_06041,rpe,always essential,4,4,4,ribulose-phosphate 3-epimerase,rpe,ribulose-phosphate 3-epimerase,GO:0006098,pentose-phosphate shunt,biological_process
PALES_06041,rpe,always essential,4,4,4,ribulose-phosphate 3-epimerase,rpe,ribulose-phosphate 3-epimerase,GO:0003824,catalytic activity,molecular_function
PALES_06041,rpe,always essential,4,4,4,ribulose-phosphate 3-epimerase,rpe,ribulose-phosphate 3-epimerase,GO:0005975,carbohydrate metabolic process,biological_process
PALES_06041,rpe,always essential,4,4,4,ribulose-phosphate 3-epimerase,rpe,ribulose-phosphate 3-epimerase,GO:0016857,"racemase and epimerase activity, acting on carbohydrates and derivatives",molecular_function
PALES_06091,ptrB,always essential,4,4,4,"repressor, PtrB",ptrB,"repressor, PtrB",GO:0008270,zinc ion binding,molecular_function
PALES_06091,ptrB,always essential,4,4,4,"repressor, PtrB",ptrB,"repressor, PtrB",GO:1900378,positive regulation of secondary metabolite biosynthetic process,biological_process
PALES_06091,ptrB,always essential,4,4,4,"repressor, PtrB",ptrB,"repressor, PtrB",GO:0031328,positive regulation of cellular biosynthetic process,biological_process
PALES_06341,PALES_06341,always essential,4,4,4,putative ubiquinone biosynthesis protein,PALES_06341,putative ubiquinone biosynthesis protein,GO:0006744,ubiquinone biosynthetic process,biological_process
PALES_06341,PALES_06341,always essential,4,4,4,putative ubiquinone biosynthesis protein,PALES_06341,putative ubiquinone biosynthesis protein,GO:0055114,oxidation-reduction process,biological_process
PALES_06441,PALES_06441,always essential,4,4,4,iron-sulfur cluster insertion protein ErpA,PALES_06441,iron-sulfur cluster insertion protein ErpA,GO:0005198,structural molecule activity,molecular_function
PALES_06441,PALES_06441,always essential,4,4,4,iron-sulfur cluster insertion protein ErpA,PALES_06441,iron-sulfur cluster insertion protein ErpA,GO:0051536,iron-sulfur cluster binding,molecular_function
PALES_06441,PALES_06441,always essential,4,4,4,iron-sulfur cluster insertion protein ErpA,PALES_06441,iron-sulfur cluster insertion protein ErpA,GO:0097428,protein maturation by iron-sulfur cluster transfer,biological_process
PALES_06491,PALES_06491,always essential,4,4,4,pantothenate kinase,PALES_06491,pantothenate kinase,GO:0004594,pantothenate kinase activity,molecular_function
PALES_06521,secE,always essential,4,4,4,preprotein translocase subunit SecE,secE,preprotein translocase subunit SecE,GO:0006605,protein targeting,biological_process
PALES_06521,secE,always essential,4,4,4,preprotein translocase subunit SecE,secE,preprotein translocase subunit SecE,GO:0006886,intracellular protein transport,biological_process
PALES_06521,secE,always essential,4,4,4,preprotein translocase subunit SecE,secE,preprotein translocase subunit SecE,GO:0016020,membrane,cellular_component
PALES_06521,secE,always essential,4,4,4,preprotein translocase subunit SecE,secE,preprotein translocase subunit SecE,GO:0009306,protein secretion,biological_process
PALES_06521,secE,always essential,4,4,4,preprotein translocase subunit SecE,secE,preprotein translocase subunit SecE,GO:0015450,P-P-bond-hydrolysis-driven protein transmembrane transporter activity,molecular_function
PALES_06521,secE,always essential,4,4,4,preprotein translocase subunit SecE,secE,preprotein translocase subunit SecE,GO:0016021,integral component of membrane,cellular_component
PALES_06531,nusG,always essential,4,4,4,transcription antitermination protein NusG,nusG,transcription antitermination protein NusG,GO:0032784,"regulation of DNA-templated transcription, elongation",biological_process
PALES_06531,nusG,always essential,4,4,4,transcription antitermination protein NusG,nusG,transcription antitermination protein NusG,GO:0006355,"regulation of transcription, DNA-templated",biological_process
PALES_06541,rplK,always essential,4,4,4,50S ribosomal protein L11,rplK,50S ribosomal protein L11,GO:0003735,structural constituent of ribosome,molecular_function
PALES_06541,rplK,always essential,4,4,4,50S ribosomal protein L11,rplK,50S ribosomal protein L11,GO:0005840,ribosome,cellular_component
PALES_06541,rplK,always essential,4,4,4,50S ribosomal protein L11,rplK,50S ribosomal protein L11,GO:0006412,translation,biological_process
PALES_06551,rplA,always essential,4,4,4,50S ribosomal protein L1,rplA,50S ribosomal protein L1,GO:0003723,RNA binding,molecular_function
PALES_06551,rplA,always essential,4,4,4,50S ribosomal protein L1,rplA,50S ribosomal protein L1,GO:0003735,structural constituent of ribosome,molecular_function
PALES_06551,rplA,always essential,4,4,4,50S ribosomal protein L1,rplA,50S ribosomal protein L1,GO:0006412,translation,biological_process
PALES_06551,rplA,always essential,4,4,4,50S ribosomal protein L1,rplA,50S ribosomal protein L1,GO:0015934,large ribosomal subunit,cellular_component
PALES_06561,rplJ,always essential,4,4,4,50S ribosomal protein L10,rplJ,50S ribosomal protein L10,GO:0042254,ribosome biogenesis,biological_process
PALES_06561,rplJ,always essential,4,4,4,50S ribosomal protein L10,rplJ,50S ribosomal protein L10,GO:0003735,structural constituent of ribosome,molecular_function
PALES_06561,rplJ,always essential,4,4,4,50S ribosomal protein L10,rplJ,50S ribosomal protein L10,GO:0006412,translation,biological_process
PALES_06561,rplJ,always essential,4,4,4,50S ribosomal protein L10,rplJ,50S ribosomal protein L10,GO:0015934,large ribosomal subunit,cellular_component
PALES_06591,rpoC,always essential,4,4,4,DNA-directed RNA polymerase subunit beta',rpoC,DNA-directed RNA polymerase subunit beta',GO:0003677,DNA binding,molecular_function
PALES_06591,rpoC,always essential,4,4,4,DNA-directed RNA polymerase subunit beta',rpoC,DNA-directed RNA polymerase subunit beta',GO:0003899,DNA-directed 5'-3' RNA polymerase activity,molecular_function
PALES_06591,rpoC,always essential,4,4,4,DNA-directed RNA polymerase subunit beta',rpoC,DNA-directed RNA polymerase subunit beta',GO:0006351,"transcription, DNA-templated",biological_process
PALES_06601,rpsL,always essential,4,4,4,30S ribosomal protein S12,rpsL,30S ribosomal protein S12,GO:0003735,structural constituent of ribosome,molecular_function
PALES_06601,rpsL,always essential,4,4,4,30S ribosomal protein S12,rpsL,30S ribosomal protein S12,GO:0005840,ribosome,cellular_component
PALES_06601,rpsL,always essential,4,4,4,30S ribosomal protein S12,rpsL,30S ribosomal protein S12,GO:0006412,translation,biological_process
PALES_06601,rpsL,always essential,4,4,4,30S ribosomal protein S12,rpsL,30S ribosomal protein S12,GO:0015935,small ribosomal subunit,cellular_component
PALES_06611,rpsG,always essential,4,4,4,30S ribosomal protein S7,rpsG,30S ribosomal protein S7,GO:0003735,structural constituent of ribosome,molecular_function
PALES_06611,rpsG,always essential,4,4,4,30S ribosomal protein S7,rpsG,30S ribosomal protein S7,GO:0006412,translation,biological_process
PALES_06611,rpsG,always essential,4,4,4,30S ribosomal protein S7,rpsG,30S ribosomal protein S7,GO:0015935,small ribosomal subunit,cellular_component
PALES_06611,rpsG,always essential,4,4,4,30S ribosomal protein S7,rpsG,30S ribosomal protein S7,GO:0003723,RNA binding,molecular_function
PALES_06701,rplV,always essential,4,4,4,50S ribosomal protein L22,rplV,50S ribosomal protein L22,GO:0003735,structural constituent of ribosome,molecular_function
PALES_06701,rplV,always essential,4,4,4,50S ribosomal protein L22,rplV,50S ribosomal protein L22,GO:0005840,ribosome,cellular_component
PALES_06701,rplV,always essential,4,4,4,50S ribosomal protein L22,rplV,50S ribosomal protein L22,GO:0006412,translation,biological_process
PALES_06701,rplV,always essential,4,4,4,50S ribosomal protein L22,rplV,50S ribosomal protein L22,GO:0015934,large ribosomal subunit,cellular_component
PALES_06711,rpsC,always essential,4,4,4,30S ribosomal protein S3,rpsC,30S ribosomal protein S3,GO:0003735,structural constituent of ribosome,molecular_function
PALES_06711,rpsC,always essential,4,4,4,30S ribosomal protein S3,rpsC,30S ribosomal protein S3,GO:0006412,translation,biological_process
PALES_06711,rpsC,always essential,4,4,4,30S ribosomal protein S3,rpsC,30S ribosomal protein S3,GO:0015935,small ribosomal subunit,cellular_component
PALES_06711,rpsC,always essential,4,4,4,30S ribosomal protein S3,rpsC,30S ribosomal protein S3,GO:0003676,nucleic acid binding,molecular_function
PALES_06711,rpsC,always essential,4,4,4,30S ribosomal protein S3,rpsC,30S ribosomal protein S3,GO:0003723,RNA binding,molecular_function
PALES_06721,rplP,always essential,4,4,4,50S ribosomal protein L16,rplP,50S ribosomal protein L16,GO:0003735,structural constituent of ribosome,molecular_function
PALES_06721,rplP,always essential,4,4,4,50S ribosomal protein L16,rplP,50S ribosomal protein L16,GO:0005840,ribosome,cellular_component
PALES_06721,rplP,always essential,4,4,4,50S ribosomal protein L16,rplP,50S ribosomal protein L16,GO:0006412,translation,biological_process
PALES_06721,rplP,always essential,4,4,4,50S ribosomal protein L16,rplP,50S ribosomal protein L16,GO:0019843,rRNA binding,molecular_function
PALES_06731,rpmC,always essential,4,4,4,50S ribosomal protein L29,rpmC,50S ribosomal protein L29,GO:0003735,structural constituent of ribosome,molecular_function
PALES_06731,rpmC,always essential,4,4,4,50S ribosomal protein L29,rpmC,50S ribosomal protein L29,GO:0005840,ribosome,cellular_component
PALES_06731,rpmC,always essential,4,4,4,50S ribosomal protein L29,rpmC,50S ribosomal protein L29,GO:0006412,translation,biological_process
PALES_06741,rpsQ,always essential,4,4,4,30S ribosomal protein S17,rpsQ,30S ribosomal protein S17,GO:0003735,structural constituent of ribosome,molecular_function
PALES_06741,rpsQ,always essential,4,4,4,30S ribosomal protein S17,rpsQ,30S ribosomal protein S17,GO:0005840,ribosome,cellular_component
PALES_06741,rpsQ,always essential,4,4,4,30S ribosomal protein S17,rpsQ,30S ribosomal protein S17,GO:0006412,translation,biological_process
PALES_06751,rplN,always essential,4,4,4,50S ribosomal protein L14,rplN,50S ribosomal protein L14,GO:0003735,structural constituent of ribosome,molecular_function
PALES_06751,rplN,always essential,4,4,4,50S ribosomal protein L14,rplN,50S ribosomal protein L14,GO:0005840,ribosome,cellular_component
PALES_06751,rplN,always essential,4,4,4,50S ribosomal protein L14,rplN,50S ribosomal protein L14,GO:0006412,translation,biological_process
PALES_06751,rplN,always essential,4,4,4,50S ribosomal protein L14,rplN,50S ribosomal protein L14,GO:0015934,large ribosomal subunit,cellular_component
PALES_06761,rplX,always essential,4,4,4,50S ribosomal protein L24,rplX,50S ribosomal protein L24,GO:0003735,structural constituent of ribosome,molecular_function
PALES_06761,rplX,always essential,4,4,4,50S ribosomal protein L24,rplX,50S ribosomal protein L24,GO:0005840,ribosome,cellular_component
PALES_06761,rplX,always essential,4,4,4,50S ribosomal protein L24,rplX,50S ribosomal protein L24,GO:0006412,translation,biological_process
PALES_06771,rplE,always essential,4,4,4,50S ribosomal protein L5,rplE,50S ribosomal protein L5,GO:0003735,structural constituent of ribosome,molecular_function
PALES_06771,rplE,always essential,4,4,4,50S ribosomal protein L5,rplE,50S ribosomal protein L5,GO:0005840,ribosome,cellular_component
PALES_06771,rplE,always essential,4,4,4,50S ribosomal protein L5,rplE,50S ribosomal protein L5,GO:0006412,translation,biological_process
PALES_06781,rpsN,always essential,4,4,4,30S ribosomal protein S14,rpsN,30S ribosomal protein S14,GO:0003735,structural constituent of ribosome,molecular_function
PALES_06781,rpsN,always essential,4,4,4,30S ribosomal protein S14,rpsN,30S ribosomal protein S14,GO:0005840,ribosome,cellular_component
PALES_06781,rpsN,always essential,4,4,4,30S ribosomal protein S14,rpsN,30S ribosomal protein S14,GO:0006412,translation,biological_process
PALES_06791,rpsH,always essential,4,4,4,30S ribosomal protein S8,rpsH,30S ribosomal protein S8,GO:0003735,structural constituent of ribosome,molecular_function
PALES_06791,rpsH,always essential,4,4,4,30S ribosomal protein S8,rpsH,30S ribosomal protein S8,GO:0005840,ribosome,cellular_component
PALES_06791,rpsH,always essential,4,4,4,30S ribosomal protein S8,rpsH,30S ribosomal protein S8,GO:0006412,translation,biological_process
PALES_06801,rplF,always essential,4,4,4,50S ribosomal protein L6,rplF,50S ribosomal protein L6,GO:0003735,structural constituent of ribosome,molecular_function
PALES_06801,rplF,always essential,4,4,4,50S ribosomal protein L6,rplF,50S ribosomal protein L6,GO:0005840,ribosome,cellular_component
PALES_06801,rplF,always essential,4,4,4,50S ribosomal protein L6,rplF,50S ribosomal protein L6,GO:0006412,translation,biological_process
PALES_06801,rplF,always essential,4,4,4,50S ribosomal protein L6,rplF,50S ribosomal protein L6,GO:0019843,rRNA binding,molecular_function
PALES_06811,rplR,always essential,4,4,4,50S ribosomal protein L18,rplR,50S ribosomal protein L18,GO:0003735,structural constituent of ribosome,molecular_function
PALES_06811,rplR,always essential,4,4,4,50S ribosomal protein L18,rplR,50S ribosomal protein L18,GO:0005840,ribosome,cellular_component
PALES_06811,rplR,always essential,4,4,4,50S ribosomal protein L18,rplR,50S ribosomal protein L18,GO:0006412,translation,biological_process
PALES_06821,rpsE,always essential,4,4,4,30S ribosomal protein S5,rpsE,30S ribosomal protein S5,GO:0003735,structural constituent of ribosome,molecular_function
