LESB_Locus,Gene,Essentiality,Control,Condition,Replicates,LESB_Description,Product Description,Accession,GO Term,Namespace
PALES_03221,PALES_03221,conditionally essential,0,4,4,putative ATP-binding component of ABC transporter,putative ATP-binding component of ABC transporter,GO:0015417,ATPase-coupled polyamine transmembrane transporter activity,molecular_function
PALES_03221,PALES_03221,conditionally essential,0,4,4,putative ATP-binding component of ABC transporter,putative ATP-binding component of ABC transporter,GO:0015846,polyamine transport,biological_process
PALES_03221,PALES_03221,conditionally essential,0,4,4,putative ATP-binding component of ABC transporter,putative ATP-binding component of ABC transporter,GO:0043190,ATP-binding cassette (ABC) transporter complex,cellular_component
PALES_03221,PALES_03221,conditionally essential,0,4,4,putative ATP-binding component of ABC transporter,putative ATP-binding component of ABC transporter,GO:0005524,ATP binding,molecular_function
PALES_03221,PALES_03221,conditionally essential,0,4,4,putative ATP-binding component of ABC transporter,putative ATP-binding component of ABC transporter,GO:0016887,ATPase activity,molecular_function
PALES_03221,PALES_03221,conditionally essential,0,4,4,putative ATP-binding component of ABC transporter,putative ATP-binding component of ABC transporter,GO:0022857,transmembrane transporter activity,molecular_function
PALES_03221,PALES_03221,conditionally essential,0,4,4,putative ATP-binding component of ABC transporter,putative ATP-binding component of ABC transporter,GO:0055085,transmembrane transport,biological_process
PALES_03341,ptsP,conditionally essential,0,4,4,phosphoenolpyruvate-protein phosphotransferase PtsP,phosphoenolpyruvate-protein phosphotransferase PtsP,GO:0016772,"transferase activity, transferring phosphorus-containing groups",molecular_function
PALES_03341,ptsP,conditionally essential,0,4,4,phosphoenolpyruvate-protein phosphotransferase PtsP,phosphoenolpyruvate-protein phosphotransferase PtsP,GO:0005515,protein binding,molecular_function
PALES_03341,ptsP,conditionally essential,0,4,4,phosphoenolpyruvate-protein phosphotransferase PtsP,phosphoenolpyruvate-protein phosphotransferase PtsP,GO:0016310,phosphorylation,biological_process
PALES_03341,ptsP,conditionally essential,0,4,4,phosphoenolpyruvate-protein phosphotransferase PtsP,phosphoenolpyruvate-protein phosphotransferase PtsP,GO:0009401,phosphoenolpyruvate-dependent sugar phosphotransferase system,biological_process
PALES_03341,ptsP,conditionally essential,0,4,4,phosphoenolpyruvate-protein phosphotransferase PtsP,phosphoenolpyruvate-protein phosphotransferase PtsP,GO:0003824,catalytic activity,molecular_function
PALES_03501,ilvD,conditionally essential,0,4,4,dihydroxy-acid dehydratase,dihydroxy-acid dehydratase,GO:0004160,dihydroxy-acid dehydratase activity,molecular_function
PALES_03501,ilvD,conditionally essential,0,4,4,dihydroxy-acid dehydratase,dihydroxy-acid dehydratase,GO:0009082,branched-chain amino acid biosynthetic process,biological_process
PALES_03501,ilvD,conditionally essential,0,4,4,dihydroxy-acid dehydratase,dihydroxy-acid dehydratase,GO:0003824,catalytic activity,molecular_function
PALES_03581,PALES_03581,conditionally essential,0,4,4,putative gamma-glutamyltranspeptidase precursor,putative gamma-glutamyltranspeptidase precursor,GO:0006751,glutathione catabolic process,biological_process
PALES_03581,PALES_03581,conditionally essential,0,4,4,putative gamma-glutamyltranspeptidase precursor,putative gamma-glutamyltranspeptidase precursor,GO:0036374,glutathione hydrolase activity,molecular_function
PALES_03681,PALES_03681,conditionally essential,0,4,4,putative peptidase,putative peptidase,GO:0003824,catalytic activity,molecular_function
PALES_03681,PALES_03681,conditionally essential,0,4,4,putative peptidase,putative peptidase,GO:0046872,metal ion binding,molecular_function
PALES_03951,PALES_03951,conditionally essential,0,4,4,putative cation efflux system protein,putative cation efflux system protein,GO:0006812,cation transport,biological_process
PALES_03951,PALES_03951,conditionally essential,0,4,4,putative cation efflux system protein,putative cation efflux system protein,GO:0008324,cation transmembrane transporter activity,molecular_function
PALES_03951,PALES_03951,conditionally essential,0,4,4,putative cation efflux system protein,putative cation efflux system protein,GO:0016021,integral component of membrane,cellular_component
PALES_03951,PALES_03951,conditionally essential,0,4,4,putative cation efflux system protein,putative cation efflux system protein,GO:0055085,transmembrane transport,biological_process
PALES_04121,chpB,conditionally essential,0,4,4,putative methylesterase,putative methylesterase,GO:0000156,phosphorelay response regulator activity,molecular_function
PALES_04121,chpB,conditionally essential,0,4,4,putative methylesterase,putative methylesterase,GO:0000160,phosphorelay signal transduction system,biological_process
PALES_04121,chpB,conditionally essential,0,4,4,putative methylesterase,putative methylesterase,GO:0005737,cytoplasm,cellular_component
PALES_04121,chpB,conditionally essential,0,4,4,putative methylesterase,putative methylesterase,GO:0006935,chemotaxis,biological_process
PALES_04121,chpB,conditionally essential,0,4,4,putative methylesterase,putative methylesterase,GO:0008984,protein-glutamate methylesterase activity,molecular_function
PALES_04831,PALES_04831,conditionally essential,0,4,4,putative molybdenum transport regulator,putative molybdenum transport regulator,GO:0003700,DNA-binding transcription factor activity,molecular_function
PALES_04831,PALES_04831,conditionally essential,0,4,4,putative molybdenum transport regulator,putative molybdenum transport regulator,GO:0006355,"regulation of transcription, DNA-templated",biological_process
PALES_04831,PALES_04831,conditionally essential,0,4,4,putative molybdenum transport regulator,putative molybdenum transport regulator,GO:0015689,molybdate ion transport,biological_process
PALES_04831,PALES_04831,conditionally essential,0,4,4,putative molybdenum transport regulator,putative molybdenum transport regulator,GO:0030151,molybdenum ion binding,molecular_function
PALES_04871,PALES_04871,conditionally essential,0,4,4,putative transcriptional regulator,putative transcriptional regulator,GO:0003700,DNA-binding transcription factor activity,molecular_function
PALES_04871,PALES_04871,conditionally essential,0,4,4,putative transcriptional regulator,putative transcriptional regulator,GO:0006355,"regulation of transcription, DNA-templated",biological_process
PALES_04961,bioB,conditionally essential,0,4,4,biotin synthase,biotin synthase,GO:0003824,catalytic activity,molecular_function
PALES_04961,bioB,conditionally essential,0,4,4,biotin synthase,biotin synthase,GO:0051536,iron-sulfur cluster binding,molecular_function
PALES_04961,bioB,conditionally essential,0,4,4,biotin synthase,biotin synthase,GO:0004076,biotin synthase activity,molecular_function
PALES_04961,bioB,conditionally essential,0,4,4,biotin synthase,biotin synthase,GO:0009102,biotin biosynthetic process,biological_process
PALES_05621,PALES_05621,conditionally essential,0,4,4,hypothetical protein,hypothetical protein,GO:0051920,peroxiredoxin activity,molecular_function
PALES_05621,PALES_05621,conditionally essential,0,4,4,hypothetical protein,hypothetical protein,GO:0055114,oxidation-reduction process,biological_process
PALES_05891,ksgA,conditionally essential,0,4,4,dimethyladenosine transferase,dimethyladenosine transferase,GO:0000179,"rRNA (adenine-N6,N6-)-dimethyltransferase activity",molecular_function
PALES_05891,ksgA,conditionally essential,0,4,4,dimethyladenosine transferase,dimethyladenosine transferase,GO:0006364,rRNA processing,biological_process
PALES_05891,ksgA,conditionally essential,0,4,4,dimethyladenosine transferase,dimethyladenosine transferase,GO:0000154,rRNA modification,biological_process
PALES_05891,ksgA,conditionally essential,0,4,4,dimethyladenosine transferase,dimethyladenosine transferase,GO:0008649,rRNA methyltransferase activity,molecular_function
PALES_05901,pdxA,conditionally essential,0,4,4,4-hydroxythreonine-4-phosphate dehydrogenase,4-hydroxythreonine-4-phosphate dehydrogenase,GO:0051287,NAD binding,molecular_function
PALES_05901,pdxA,conditionally essential,0,4,4,4-hydroxythreonine-4-phosphate dehydrogenase,4-hydroxythreonine-4-phosphate dehydrogenase,GO:0055114,oxidation-reduction process,biological_process
PALES_05901,pdxA,conditionally essential,0,4,4,4-hydroxythreonine-4-phosphate dehydrogenase,4-hydroxythreonine-4-phosphate dehydrogenase,GO:0042823,pyridoxal phosphate biosynthetic process,biological_process
PALES_05901,pdxA,conditionally essential,0,4,4,4-hydroxythreonine-4-phosphate dehydrogenase,4-hydroxythreonine-4-phosphate dehydrogenase,GO:0050570,4-hydroxythreonine-4-phosphate dehydrogenase activity,molecular_function
PALES_06311,vfr,conditionally essential,0,4,4,cAMP-regulatory protein,cAMP-regulatory protein,GO:0003700,DNA-binding transcription factor activity,molecular_function
PALES_06311,vfr,conditionally essential,0,4,4,cAMP-regulatory protein,cAMP-regulatory protein,GO:0006355,"regulation of transcription, DNA-templated",biological_process
PALES_06311,vfr,conditionally essential,0,4,4,cAMP-regulatory protein,cAMP-regulatory protein,GO:0003677,DNA binding,molecular_function
PALES_06311,vfr,conditionally essential,0,4,4,cAMP-regulatory protein,cAMP-regulatory protein,GO:0043902,positive regulation of multi-organism process,biological_process
PALES_06311,vfr,conditionally essential,0,4,4,cAMP-regulatory protein,cAMP-regulatory protein,GO:0009405,pathogenesis,biological_process
PALES_06451,PALES_06451,conditionally essential,0,4,4,anhydro-N-acetylmuramic acid kinase,anhydro-N-acetylmuramic acid kinase,GO:0005524,ATP binding,molecular_function
PALES_06451,PALES_06451,conditionally essential,0,4,4,anhydro-N-acetylmuramic acid kinase,anhydro-N-acetylmuramic acid kinase,GO:0006040,amino sugar metabolic process,biological_process
PALES_06451,PALES_06451,conditionally essential,0,4,4,anhydro-N-acetylmuramic acid kinase,anhydro-N-acetylmuramic acid kinase,GO:0009254,peptidoglycan turnover,biological_process
PALES_06451,PALES_06451,conditionally essential,0,4,4,anhydro-N-acetylmuramic acid kinase,anhydro-N-acetylmuramic acid kinase,GO:0016773,"phosphotransferase activity, alcohol group as acceptor",molecular_function
PALES_06941,PALES_06941,conditionally essential,0,4,4,putative major facilitator superfamily (MFS) transporter,putative major facilitator superfamily (MFS) transporter,GO:0005887,integral component of plasma membrane,cellular_component
PALES_06941,PALES_06941,conditionally essential,0,4,4,putative major facilitator superfamily (MFS) transporter,putative major facilitator superfamily (MFS) transporter,GO:0055085,transmembrane transport,biological_process
PALES_08021,PALES_08021,conditionally essential,0,4,4,DNA replication protein DnaC,DNA replication protein DnaC,GO:0005524,ATP binding,molecular_function
PALES_09441,PALES_09441,conditionally essential,0,4,4,putative two-component response regulator,putative two-component response regulator,GO:0000160,phosphorelay signal transduction system,biological_process
PALES_09441,PALES_09441,conditionally essential,0,4,4,putative two-component response regulator,putative two-component response regulator,GO:0003677,DNA binding,molecular_function
PALES_09441,PALES_09441,conditionally essential,0,4,4,putative two-component response regulator,putative two-component response regulator,GO:0006355,"regulation of transcription, DNA-templated",biological_process
PALES_09671,PALES_09671,conditionally essential,0,4,4,putative O-methyltransferase,putative O-methyltransferase,GO:0008168,methyltransferase activity,molecular_function
PALES_09671,PALES_09671,conditionally essential,0,4,4,putative O-methyltransferase,putative O-methyltransferase,GO:0032259,methylation,biological_process
PALES_09691,proA,conditionally essential,0,4,4,gamma-glutamyl phosphate reductase,gamma-glutamyl phosphate reductase,GO:0016491,oxidoreductase activity,molecular_function
PALES_09691,proA,conditionally essential,0,4,4,gamma-glutamyl phosphate reductase,gamma-glutamyl phosphate reductase,GO:0016620,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",molecular_function
PALES_09691,proA,conditionally essential,0,4,4,gamma-glutamyl phosphate reductase,gamma-glutamyl phosphate reductase,GO:0055114,oxidation-reduction process,biological_process
PALES_09691,proA,conditionally essential,0,4,4,gamma-glutamyl phosphate reductase,gamma-glutamyl phosphate reductase,GO:0004350,glutamate-5-semialdehyde dehydrogenase activity,molecular_function
PALES_09691,proA,conditionally essential,0,4,4,gamma-glutamyl phosphate reductase,gamma-glutamyl phosphate reductase,GO:0006561,proline biosynthetic process,biological_process
PALES_09691,proA,conditionally essential,0,4,4,gamma-glutamyl phosphate reductase,gamma-glutamyl phosphate reductase,GO:0050661,NADP binding,molecular_function
PALES_09721,PALES_09721,conditionally essential,0,4,4,rRNA large subunit methyltransferase,rRNA large subunit methyltransferase,GO:0006364,rRNA processing,biological_process
PALES_09721,PALES_09721,conditionally essential,0,4,4,rRNA large subunit methyltransferase,rRNA large subunit methyltransferase,GO:0008168,methyltransferase activity,molecular_function
PALES_09761,PALES_09761,conditionally essential,0,4,4,"putative lipoprotein, rlpA family","putative lipoprotein, rlpA family",GO:0042834,peptidoglycan binding,molecular_function
PALES_09761,PALES_09761,conditionally essential,0,4,4,"putative lipoprotein, rlpA family","putative lipoprotein, rlpA family",GO:0016829,lyase activity,molecular_function
PALES_09941,PALES_09941,conditionally essential,0,4,4,PhoH family protein,PhoH family protein,GO:0005524,ATP binding,molecular_function
PALES_09971,PALES_09971,conditionally essential,0,4,4,hypothetical protein,hypothetical protein,GO:0005515,protein binding,molecular_function
PALES_10071,PALES_10071,conditionally essential,0,4,4,putative pseudouridine synthase,putative pseudouridine synthase,GO:0001522,pseudouridine synthesis,biological_process
PALES_10071,PALES_10071,conditionally essential,0,4,4,putative pseudouridine synthase,putative pseudouridine synthase,GO:0003723,RNA binding,molecular_function
PALES_10071,PALES_10071,conditionally essential,0,4,4,putative pseudouridine synthase,putative pseudouridine synthase,GO:0009451,RNA modification,biological_process
PALES_10071,PALES_10071,conditionally essential,0,4,4,putative pseudouridine synthase,putative pseudouridine synthase,GO:0009982,pseudouridine synthase activity,molecular_function
PALES_10071,PALES_10071,conditionally essential,0,4,4,putative pseudouridine synthase,putative pseudouridine synthase,GO:0016866,intramolecular transferase activity,molecular_function
PALES_10321,PALES_10321,conditionally essential,0,4,4,putative acetyltransferase,putative acetyltransferase,GO:0008080,N-acetyltransferase activity,molecular_function
PALES_10561,PALES_10561,conditionally essential,0,4,4,putative transcriptional regulator,putative transcriptional regulator,GO:0006355,"regulation of transcription, DNA-templated",biological_process
PALES_10561,PALES_10561,conditionally essential,0,4,4,putative transcriptional regulator,putative transcriptional regulator,GO:0005515,protein binding,molecular_function
PALES_10561,PALES_10561,conditionally essential,0,4,4,putative transcriptional regulator,putative transcriptional regulator,GO:0003677,DNA binding,molecular_function
PALES_10621,moaB1,conditionally essential,0,4,4,molybdopterin biosynthetic protein B1,molybdopterin biosynthetic protein B1,GO:0006777,Mo-molybdopterin cofactor biosynthetic process,biological_process
PALES_10831,PALES_10831,conditionally essential,0,4,4,putative outer membrane protein precursor,putative outer membrane protein precursor,GO:0015562,efflux transmembrane transporter activity,molecular_function
PALES_10831,PALES_10831,conditionally essential,0,4,4,putative outer membrane protein precursor,putative outer membrane protein precursor,GO:0055085,transmembrane transport,biological_process
PALES_10831,PALES_10831,conditionally essential,0,4,4,putative outer membrane protein precursor,putative outer membrane protein precursor,GO:0016020,membrane,cellular_component
PALES_10831,PALES_10831,conditionally essential,0,4,4,putative outer membrane protein precursor,putative outer membrane protein precursor,GO:0022857,transmembrane transporter activity,molecular_function
PALES_10841,PALES_10841,conditionally essential,0,4,4,putative outer membrane protein,putative outer membrane protein,GO:0005886,plasma membrane,cellular_component
PALES_10841,PALES_10841,conditionally essential,0,4,4,putative outer membrane protein,putative outer membrane protein,GO:0022857,transmembrane transporter activity,molecular_function
PALES_10841,PALES_10841,conditionally essential,0,4,4,putative outer membrane protein,putative outer membrane protein,GO:0055085,transmembrane transport,biological_process
PALES_11051,narJ,conditionally essential,0,4,4,respiratory nitrate reductase delta chain,respiratory nitrate reductase delta chain,GO:0051082,unfolded protein binding,molecular_function
PALES_11051,narJ,conditionally essential,0,4,4,respiratory nitrate reductase delta chain,respiratory nitrate reductase delta chain,GO:0051131,chaperone-mediated protein complex assembly,biological_process
PALES_11561,PALES_11561,conditionally essential,0,4,4,extragenic suppressor protein SuhB,extragenic suppressor protein SuhB,GO:0008934,inositol monophosphate 1-phosphatase activity,molecular_function
PALES_11561,PALES_11561,conditionally essential,0,4,4,extragenic suppressor protein SuhB,extragenic suppressor protein SuhB,GO:0046855,inositol phosphate dephosphorylation,biological_process
PALES_11561,PALES_11561,conditionally essential,0,4,4,extragenic suppressor protein SuhB,extragenic suppressor protein SuhB,GO:0046854,phosphatidylinositol phosphorylation,biological_process
PALES_11651,fdx2,conditionally essential,0,4,4,ferredoxin,ferredoxin,GO:0009055,electron transfer activity,molecular_function
PALES_11651,fdx2,conditionally essential,0,4,4,ferredoxin,ferredoxin,GO:0051537,"2 iron, 2 sulfur cluster binding",molecular_function
PALES_11651,fdx2,conditionally essential,0,4,4,ferredoxin,ferredoxin,GO:0051536,iron-sulfur cluster binding,molecular_function
PALES_11731,PALES_11731,conditionally essential,0,4,4,hypothetical protein,hypothetical protein,GO:0005515,protein binding,molecular_function
PALES_11741,PALES_11741,conditionally essential,0,4,4,hypothetical protein,hypothetical protein,GO:0005515,protein binding,molecular_function
PALES_12091,PALES_12091,conditionally essential,0,4,4,hypothetical protein,hypothetical protein,GO:0003700,DNA-binding transcription factor activity,molecular_function
PALES_12091,PALES_12091,conditionally essential,0,4,4,hypothetical protein,hypothetical protein,GO:0006355,"regulation of transcription, DNA-templated",biological_process
PALES_12091,PALES_12091,conditionally essential,0,4,4,hypothetical protein,hypothetical protein,GO:0043565,sequence-specific DNA binding,molecular_function
PALES_12091,PALES_12091,conditionally essential,0,4,4,hypothetical protein,hypothetical protein,GO:0003677,DNA binding,molecular_function
PALES_12121,PALES_12121,conditionally essential,0,4,4,putative Cytosine/adenosine deaminase,putative Cytosine/adenosine deaminase,GO:0002100,tRNA wobble adenosine to inosine editing,biological_process
PALES_12121,PALES_12121,conditionally essential,0,4,4,putative Cytosine/adenosine deaminase,putative Cytosine/adenosine deaminase,GO:0008251,tRNA-specific adenosine deaminase activity,molecular_function
PALES_12121,PALES_12121,conditionally essential,0,4,4,putative Cytosine/adenosine deaminase,putative Cytosine/adenosine deaminase,GO:0003824,catalytic activity,molecular_function
PALES_12121,PALES_12121,conditionally essential,0,4,4,putative Cytosine/adenosine deaminase,putative Cytosine/adenosine deaminase,GO:0008270,zinc ion binding,molecular_function
PALES_12121,PALES_12121,conditionally essential,0,4,4,putative Cytosine/adenosine deaminase,putative Cytosine/adenosine deaminase,GO:0016787,hydrolase activity,molecular_function
PALES_12311,PALES_12311,conditionally essential,0,4,4,putative major facilitator superfamily (MFS) transporter,putative major facilitator superfamily (MFS) transporter,GO:0016021,integral component of membrane,cellular_component
PALES_12311,PALES_12311,conditionally essential,0,4,4,putative major facilitator superfamily (MFS) transporter,putative major facilitator superfamily (MFS) transporter,GO:0022857,transmembrane transporter activity,molecular_function
PALES_12311,PALES_12311,conditionally essential,0,4,4,putative major facilitator superfamily (MFS) transporter,putative major facilitator superfamily (MFS) transporter,GO:0055085,transmembrane transport,biological_process
PALES_12371,trmD,conditionally essential,0,4,4,tRNA (guanine-N(1)-)-methyltransferase,tRNA (guanine-N(1)-)-methyltransferase,GO:0008033,tRNA processing,biological_process
PALES_12371,trmD,conditionally essential,0,4,4,tRNA (guanine-N(1)-)-methyltransferase,tRNA (guanine-N(1)-)-methyltransferase,GO:0052906,tRNA (guanine(37)-N(1))-methyltransferase activity,molecular_function
PALES_12381,rplS,conditionally essential,0,4,4,50S ribosomal protein L19,50S ribosomal protein L19,GO:0003735,structural constituent of ribosome,molecular_function
PALES_12381,rplS,conditionally essential,0,4,4,50S ribosomal protein L19,50S ribosomal protein L19,GO:0005840,ribosome,cellular_component
PALES_12381,rplS,conditionally essential,0,4,4,50S ribosomal protein L19,50S ribosomal protein L19,GO:0006412,translation,biological_process
PALES_12741,wspA,conditionally essential,0,4,4,putative chemotaxis transducer,putative chemotaxis transducer,GO:0004888,transmembrane signaling receptor activity,molecular_function
PALES_12741,wspA,conditionally essential,0,4,4,putative chemotaxis transducer,putative chemotaxis transducer,GO:0006935,chemotaxis,biological_process
PALES_12741,wspA,conditionally essential,0,4,4,putative chemotaxis transducer,putative chemotaxis transducer,GO:0007165,signal transduction,biological_process
PALES_12741,wspA,conditionally essential,0,4,4,putative chemotaxis transducer,putative chemotaxis transducer,GO:0016020,membrane,cellular_component
PALES_12741,wspA,conditionally essential,0,4,4,putative chemotaxis transducer,putative chemotaxis transducer,GO:0016021,integral component of membrane,cellular_component
PALES_12811,wspR,conditionally essential,0,4,4,putative two-component response regulator,putative two-component response regulator,GO:0000160,phosphorelay signal transduction system,biological_process
PALES_12811,wspR,conditionally essential,0,4,4,putative two-component response regulator,putative two-component response regulator,GO:0052621,diguanylate cyclase activity,molecular_function
PALES_13171,PALES_13171,conditionally essential,0,4,4,putative pyridoxal-phosphate dependent enzyme,putative pyridoxal-phosphate dependent enzyme,GO:0003824,catalytic activity,molecular_function
PALES_14111,pcm,conditionally essential,0,4,4,protein-L-isoaspartate O-methyltransferase,protein-L-isoaspartate O-methyltransferase,GO:0004719,protein-L-isoaspartate (D-aspartate) O-methyltransferase activity,molecular_function
PALES_14111,pcm,conditionally essential,0,4,4,protein-L-isoaspartate O-methyltransferase,protein-L-isoaspartate O-methyltransferase,GO:0006464,cellular protein modification process,biological_process
PALES_14141,fdxA,conditionally essential,0,4,4,ferredoxin I,ferredoxin I,GO:0009055,electron transfer activity,molecular_function
PALES_14371,PALES_14371,conditionally essential,0,4,4,putative carbon-nitrogen hydrolase family protein,putative carbon-nitrogen hydrolase family protein,GO:0006807,nitrogen compound metabolic process,biological_process
PALES_14621,mmsR,conditionally essential,0,4,4,transcriptional regulator MmsR,transcriptional regulator MmsR,GO:0003700,DNA-binding transcription factor activity,molecular_function
PALES_14621,mmsR,conditionally essential,0,4,4,transcriptional regulator MmsR,transcriptional regulator MmsR,GO:0006355,"regulation of transcription, DNA-templated",biological_process
PALES_14621,mmsR,conditionally essential,0,4,4,transcriptional regulator MmsR,transcriptional regulator MmsR,GO:0043565,sequence-specific DNA binding,molecular_function
PALES_14621,mmsR,conditionally essential,0,4,4,transcriptional regulator MmsR,transcriptional regulator MmsR,GO:0003677,DNA binding,molecular_function
PALES_14621,mmsR,conditionally essential,0,4,4,transcriptional regulator MmsR,transcriptional regulator MmsR,GO:2000284,positive regulation of cellular amino acid biosynthetic process,biological_process
PALES_14691,PALES_14691,conditionally essential,0,4,4,"putative deoxyribonuclease, TatD family","putative deoxyribonuclease, TatD family",GO:0016788,"hydrolase activity, acting on ester bonds",molecular_function
PALES_14691,PALES_14691,conditionally essential,0,4,4,"putative deoxyribonuclease, TatD family","putative deoxyribonuclease, TatD family",GO:0016888,"endodeoxyribonuclease activity, producing 5'-phosphomonoesters",molecular_function
PALES_14801,PALES_14801,conditionally essential,0,4,4,putative glycosyl transferase,putative glycosyl transferase,GO:0016780,"phosphotransferase activity, for other substituted phosphate groups",molecular_function
PALES_15251,PALES_15251,conditionally essential,0,4,4,electron transport complex protein RnfB,electron transport complex protein RnfB,GO:0051536,iron-sulfur cluster binding,molecular_function
PALES_15251,PALES_15251,conditionally essential,0,4,4,electron transport complex protein RnfB,electron transport complex protein RnfB,GO:0009055,electron transfer activity,molecular_function
PALES_15251,PALES_15251,conditionally essential,0,4,4,electron transport complex protein RnfB,electron transport complex protein RnfB,GO:0044237,cellular metabolic process,biological_process
PALES_15251,PALES_15251,conditionally essential,0,4,4,electron transport complex protein RnfB,electron transport complex protein RnfB,GO:0005886,plasma membrane,cellular_component
