Gene	Essentiality	Control	Condition	Replicates	loci	description	old_loci
SAUSA300_0103	always non-essential	0	0	4	SAUSA300_RS00535	tandem-type lipoprotein	SAUSA300_0103
SAUSA300_0104	always non-essential	0	0	4	SAUSA300_RS00540	helix-turn-helix domain-containing protein	SAUSA300_0104
SAUSA300_0105	always non-essential	0	0	4	SAUSA300_RS00545	M20 family metallopeptidase	SAUSA300_0105
SAUSA300_0106	always non-essential	0	0	4	SAUSA300_RS00550	MFS transporter	SAUSA300_0106
SAUSA300_0107	always non-essential	0	0	4	SAUSA300_RS00555	Na/Pi cotransporter family protein	SAUSA300_0107
SAUSA300_0108	always non-essential	0	0	4	SAUSA300_RS00560	oleate hydratase	SAUSA300_0108
SAUSA300_0109	always non-essential	0	0	4	SAUSA300_RS00565	DMT family transporter	SAUSA300_0109
SAUSA300_0110	always non-essential	0	0	4	SAUSA300_RS00570	PLP-dependent aminotransferase family protein	SAUSA300_0110
SAUSA300_0111	always non-essential	0	0	4	SAUSA300_RS00575	DUF1648 domain-containing protein	SAUSA300_0111
SAUSA300_0113	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0114	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0118	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0119	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0121	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0122	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0123	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0124	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0125	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0126	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0127	always non-essential	0	0	4	SAUSA300_RS00660	hypothetical protein	SAUSA300_0127
SAUSA300_0128	always non-essential	0	0	4	SAUSA300_RS00665	MFS transporter	SAUSA300_0128
SAUSA300_0129	always non-essential	0	0	4	SAUSA300_RS00670	(S)-acetoin forming diacetyl reductase	SAUSA300_0129
SAUSA300_0130	always non-essential	0	0	4	SAUSA300_RS00680	NAD-dependent epimerase/dehydratase family protein	SAUSA300_0130
SAUSA300_0131	always non-essential	0	0	4	SAUSA300_RS00685	sugar transferase	SAUSA300_0131
SAUSA300_0132	always non-essential	0	0	4	SAUSA300_RS00690	glycosyltransferase family 4 protein	SAUSA300_0132
SAUSA300_0133	always non-essential	0	0	4	SAUSA300_RS00695	O-antigen ligase family protein	SAUSA300_0133
SAUSA300_0134	always non-essential	0	0	4	SAUSA300_RS00700	lipopolysaccharide biosynthesis protein	SAUSA300_0134
SAUSA300_0135	always non-essential	0	0	4	SAUSA300_RS00705	superoxide dismutase	SAUSA300_0135
SAUSA300_0136	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0137	always non-essential	0	0	4	SAUSA300_RS00715	GntR family transcriptional regulator	SAUSA300_0137
SAUSA300_0139	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0145	always non-essential	0	0	4	SAUSA300_RS00760	phosphate/phosphite/phosphonate ABC transporter substrate-binding protein	SAUSA300_0145
SAUSA300_0146	always non-essential	0	0	4	SAUSA300_RS00765	hypothetical protein	SAUSA300_0146
SAUSA300_0147	always non-essential	0	0	4	SAUSA300_RS00770	bifunctional metallophosphatase/5'-nucleotidase	SAUSA300_0147
SAUSA300_0148	always non-essential	0	0	4	SAUSA300_RS00775	zinc peptidase	SAUSA300_0148
SAUSA300_0149	always non-essential	0	0	4	SAUSA300_RS15710	replication initiation protein	SAUSA300_0149
SAUSA300_0150	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0168	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0169	always non-essential	0	0	4	SAUSA300_RS00890	YbaN family protein	SAUSA300_0169
SAUSA300_0170	always non-essential	0	0	4	SAUSA300_RS00895	aldehyde dehydrogenase family protein	SAUSA300_0170
SAUSA300_0171	always non-essential	0	0	4	SAUSA300_RS00900	cation diffusion facilitator family transporter	SAUSA300_0171
SAUSA300_0172	always non-essential	0	0	4	SAUSA300_RS00905	hypothetical protein	SAUSA300_0172
SAUSA300_0173	always non-essential	0	0	4	SAUSA300_RS00910	DUF4242 domain-containing protein	SAUSA300_0173
SAUSA300_0174	always non-essential	0	0	4	SAUSA300_RS00915	ABC transporter ATP-binding protein	SAUSA300_0174
SAUSA300_0175	always non-essential	0	0	4	SAUSA300_RS00920	ABC transporter substrate-binding protein	SAUSA300_0175
SAUSA300_0176	always non-essential	0	0	4	SAUSA300_RS00925	ABC transporter permease	SAUSA300_0176
SAUSA300_0177	always non-essential	0	0	4	SAUSA300_RS00930	acyl-CoA/acyl-ACP dehydrogenase	SAUSA300_0177
SAUSA300_0178	always non-essential	0	0	4	SAUSA300_RS00935	DUF2294 domain-containing protein	SAUSA300_0178
SAUSA300_0179	always non-essential	0	0	4	SAUSA300_RS00940	NAD-dependent formate dehydrogenase	SAUSA300_0179
SAUSA300_0180	always non-essential	0	0	4	SAUSA300_RS00945	MFS transporter	SAUSA300_0180
SAUSA300_0181	always non-essential	0	0	4	SAUSA300_RS00950	amino acid adenylation domain-containing protein	SAUSA300_0181
SAUSA300_0182	always non-essential	0	0	4	SAUSA300_RS00955	4'-phosphopantetheinyl transferase superfamily protein	SAUSA300_0182
SAUSA300_0183	always non-essential	0	0	4	SAUSA300_RS00960	YagU family protein	SAUSA300_0183
SAUSA300_0192	always non-essential	0	0	4	SAUSA300_RS01010	DUF871 domain-containing protein	SAUSA300_0192
SAUSA300_0193	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0194	always non-essential	0	0	4	SAUSA300_RS01020	PTS transporter subunit EIIC	SAUSA300_0194
SAUSA300_0195	always non-essential	0	0	4	SAUSA300_RS01025	MurR/RpiR family transcriptional regulator	SAUSA300_0195
SAUSA300_0197	always non-essential	0	0	4	SAUSA300_RS01040	sce7726 family protein	SAUSA300_0197
SAUSA300_0198	always non-essential	0	0	4	SAUSA300_RS01045	sce7725 family protein	SAUSA300_0198
SAUSA300_0199	always non-essential	0	0	4	SAUSA300_RS01050	RES domain-containing protein	SAUSA300_0199
SAUSA300_0200	always non-essential	0	0	4	SAUSA300_RS01055	ABC transporter ATP-binding protein	SAUSA300_0200
SAUSA300_0201	always non-essential	0	0	4	SAUSA300_RS01060	ABC transporter permease	SAUSA300_0201
SAUSA300_0202	always non-essential	0	0	4	SAUSA300_RS01065	ABC transporter permease	SAUSA300_0202
SAUSA300_0203	always non-essential	0	0	4	SAUSA300_RS01070	ABC transporter substrate-binding protein	SAUSA300_0203
SAUSA300_0205	always non-essential	0	0	4	SAUSA300_RS01080	tandem-type lipoprotein	SAUSA300_0205
SAUSA300_0206	always non-essential	0	0	4	SAUSA300_RS01085	FMN-dependent NADH-azoreductase	SAUSA300_0206
SAUSA300_0207	always non-essential	0	0	4	SAUSA300_RS01090	M23 family metallopeptidase	SAUSA300_0207
SAUSA300_0208	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0209	always non-essential	0	0	4	SAUSA300_RS01100	extracellular solute-binding protein	SAUSA300_0209
SAUSA300_0210	always non-essential	0	0	4	SAUSA300_RS01105	ABC transporter permease subunit	SAUSA300_0210
SAUSA300_0211	always non-essential	0	0	4	SAUSA300_RS01110	sugar ABC transporter permease	SAUSA300_0211
SAUSA300_0212	always non-essential	0	0	4	SAUSA300_RS01115	Gfo/Idh/MocA family oxidoreductase	SAUSA300_0212
SAUSA300_0213	always non-essential	0	0	4	SAUSA300_RS01120	Gfo/Idh/MocA family oxidoreductase	SAUSA300_0213
SAUSA300_0214	always non-essential	0	0	4	SAUSA300_RS01125	sugar phosphate isomerase/epimerase	SAUSA300_0214
SAUSA300_0215	always non-essential	0	0	4	SAUSA300_RS01130	isoprenylcysteine carboxyl methyltransferase family protein	SAUSA300_0215
SAUSA300_0217	always non-essential	0	0	4	SAUSA300_RS01140	response regulator transcription factor	SAUSA300_0217
SAUSA300_0218	always non-essential	0	0	4	SAUSA300_RS01145	sensor histidine kinase	SAUSA300_0218
SAUSA300_0219	always non-essential	0	0	4	SAUSA300_RS01150	ABC transporter substrate-binding protein	SAUSA300_0219
SAUSA300_0222	always non-essential	0	0	4	SAUSA300_RS01170	glycerophosphoryl diester phosphodiesterase membrane domain-containing protein	SAUSA300_0222
SAUSA300_0223	always non-essential	0	0	4	SAUSA300_RS01175	complement inhibitor SCIN family protein	SAUSA300_0223
SAUSA300_0225	always non-essential	0	0	4	SAUSA300_RS01195	thiolase family protein	SAUSA300_0225
SAUSA300_0226	always non-essential	0	0	4	SAUSA300_RS01200	3-hydroxyacyl-CoA dehydrogenase/enoyl-CoA hydratase family protein	SAUSA300_0226
SAUSA300_0229	always non-essential	0	0	4	SAUSA300_RS01215	acyl CoA:acetate/3-ketoacid CoA transferase	SAUSA300_0229
SAUSA300_0230	always non-essential	0	0	4	SAUSA300_RS01220	PrsW family intramembrane metalloprotease	SAUSA300_0230
SAUSA300_0231	always non-essential	0	0	4	SAUSA300_RS01225	ABC transporter substrate-binding protein	SAUSA300_0231
SAUSA300_0232	always non-essential	0	0	4	SAUSA300_RS01230	DUF488 domain-containing protein	SAUSA300_0232
SAUSA300_0233	always non-essential	0	0	4	SAUSA300_RS01235	hypothetical protein	SAUSA300_0233
SAUSA300_0234	always non-essential	0	0	4	SAUSA300_RS01240	nitric oxide dioxygenase	SAUSA300_0234
SAUSA300_0235	always non-essential	0	0	4	SAUSA300_RS01250	L-lactate dehydrogenase	SAUSA300_0235
SAUSA300_0236	always non-essential	0	0	4	SAUSA300_RS01260	PTS transporter subunit EIIC	SAUSA300_0236
SAUSA300_0237	always non-essential	0	0	4	SAUSA300_RS01265	nucleoside hydrolase	SAUSA300_0237
SAUSA300_0238	always non-essential	0	0	4	SAUSA300_RS01275	BglG family transcription antiterminator	SAUSA300_0238
SAUSA300_0239	always non-essential	0	0	4	SAUSA300_RS01280	PTS sugar transporter subunit IIA	SAUSA300_0239
SAUSA300_0240	always non-essential	0	0	4	SAUSA300_RS01285	PTS sugar transporter subunit IIB	SAUSA300_0240
SAUSA300_0241	always non-essential	0	0	4	SAUSA300_RS01290	PTS galactitol transporter subunit IIC	SAUSA300_0241
SAUSA300_0243	always non-essential	0	0	4	SAUSA300_RS01300	hypothetical protein	SAUSA300_0243
SAUSA300_0244	always non-essential	0	0	4	SAUSA300_RS01305	galactitol-1-phosphate 5-dehydrogenase	SAUSA300_0244
SAUSA300_0245	always non-essential	0	0	4	SAUSA300_RS01310	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	SAUSA300_0245
SAUSA300_0246	always non-essential	0	0	4	SAUSA300_RS01315	alcohol dehydrogenase catalytic domain-containing protein	SAUSA300_0246
SAUSA300_0247	always non-essential	0	0	4	SAUSA300_RS01320	CDP-glycerol glycerophosphotransferase family protein	SAUSA300_0247
SAUSA300_0248	always essential	4	4	4	SAUSA300_RS01325	CDP-glycerol--glycerophosphate glycerophosphotransferase	SAUSA300_0248
SAUSA300_0249	probably always non-essential	1	0	4	SAUSA300_RS01330	D-ribitol-5-phosphate cytidylyltransferase	SAUSA300_0249
SAUSA300_0250	always essential	4	4	4	SAUSA300_RS01335	zinc-binding dehydrogenase	SAUSA300_0250
SAUSA300_0251	inconsistent replicates	2	0	4	SAUSA300_RS01340	CDP-glycerol glycerophosphotransferase family protein	SAUSA300_0251
SAUSA300_0252	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0254	always non-essential	0	0	4	SAUSA300_RS01355	sensor histidine kinase	SAUSA300_0254
SAUSA300_0255	always non-essential	0	0	4	SAUSA300_RS01360	response regulator transcription factor LytR	SAUSA300_0255
SAUSA300_0256	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0257	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0258	always non-essential	0	0	4	SAUSA300_RS01375	GntR family transcriptional regulator	SAUSA300_0258
SAUSA300_0259	always non-essential	0	0	4	SAUSA300_RS01380	glucose PTS transporter subunit IIA	SAUSA300_0259
SAUSA300_0261	always non-essential	0	0	4	SAUSA300_RS01395	class I SAM-dependent methyltransferase	SAUSA300_0261
SAUSA300_0264	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0265	always non-essential	0	0	4	SAUSA300_RS01420	LacI family transcriptional regulator	SAUSA300_0265
SAUSA300_0266	always non-essential	0	0	4	SAUSA300_RS01430	hypothetical protein	SAUSA300_0266
SAUSA300_0267	always non-essential	0	0	4	SAUSA300_RS01435	IS1182 family transposase	SAUSA300_0267
SAUSA300_0268	always non-essential	0	0	4	SAUSA300_RS01440	MFS transporter	SAUSA300_0268
SAUSA300_0269	always non-essential	0	0	4	SAUSA300_RS01445	linear amide C-N hydrolase	SAUSA300_0269
SAUSA300_0271	always non-essential	0	0	4	SAUSA300_RS01455	ABC transporter ATP-binding protein	SAUSA300_0271
SAUSA300_0272	always non-essential	0	0	4	SAUSA300_RS01460	ABC transporter permease	SAUSA300_0272
SAUSA300_0273	always non-essential	0	0	4	SAUSA300_RS01465	ABC transporter permease	SAUSA300_0273
SAUSA300_0274	always non-essential	0	0	4	SAUSA300_RS01470	hypothetical protein	SAUSA300_0274
SAUSA300_0275	always non-essential	0	0	4	SAUSA300_RS01475	DUF5079 family protein	SAUSA300_0275
SAUSA300_0276	always non-essential	0	0	4	SAUSA300_RS01480	DUF5080 family protein	SAUSA300_0276
SAUSA300_0277	always non-essential	0	0	4	SAUSA300_RS01485	CHAP domain-containing protein	SAUSA300_0277
SAUSA300_0278	inconsistent replicates	1	3	4	NA	NA	NA
SAUSA300_0279	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0280	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0281	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0282	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0283	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0284	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0285	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0286	always non-essential	0	0	4	SAUSA300_RS01530	DUF5081 family protein	SAUSA300_0286
SAUSA300_0287	always non-essential	0	0	4	SAUSA300_RS01535	hypothetical protein	SAUSA300_0287
SAUSA300_0288	always non-essential	0	0	4	SAUSA300_RS01540	DNA/RNA non-specific endonuclease	SAUSA300_0288
SAUSA300_0289	inconsistent replicates	3	2	4	SAUSA300_RS01545	TIGR01741 family protein	SAUSA300_0289
SAUSA300_0290	always non-essential	0	0	4	SAUSA300_RS01550	DUF5079 family protein	SAUSA300_0290
SAUSA300_0291	always non-essential	0	0	4	SAUSA300_RS01555	DUF5080 family protein	SAUSA300_0291
SAUSA300_0292	always non-essential	0	0	4	SAUSA300_RS01560	hypothetical protein	SAUSA300_0292
SAUSA300_0293	always non-essential	0	0	4	SAUSA300_RS01565	TIGR01741 family protein	SAUSA300_0293
SAUSA300_0294	always non-essential	0	0	4	SAUSA300_RS01570	TIGR01741 family protein	SAUSA300_0294
SAUSA300_0295	always non-essential	0	0	4	SAUSA300_RS01575	TIGR01741 family protein	SAUSA300_0295
SAUSA300_0296	always non-essential	0	0	4	SAUSA300_RS01580	TIGR01741 family protein	SAUSA300_0296
SAUSA300_0297	always non-essential	0	0	4	SAUSA300_RS01585	DUF5079 family protein	SAUSA300_0297
SAUSA300_0298	always non-essential	0	0	4	SAUSA300_RS01590	TIGR01741 family protein	SAUSA300_0298
SAUSA300_0299	always non-essential	0	0	4	SAUSA300_RS01595	TIGR01741 family protein	SAUSA300_0299
SAUSA300_0300	always non-essential	0	0	4	SAUSA300_RS01600	antitoxin YezG family protein	SAUSA300_0300
SAUSA300_0301	always non-essential	0	0	4	SAUSA300_RS01605	TIGR01741 family protein	SAUSA300_0301
SAUSA300_0302	always non-essential	0	0	4	SAUSA300_RS01610	antitoxin YezG family protein	SAUSA300_0302
SAUSA300_0303	always non-essential	0	0	4	SAUSA300_RS01615	DUF4467 domain-containing protein	SAUSA300_0303
SAUSA300_0304	always non-essential	0	0	4	SAUSA300_RS01620	DUF4064 domain-containing protein	SAUSA300_0304
SAUSA300_0305	always non-essential	0	0	4	SAUSA300_RS01625	formate/nitrite transporter family protein	SAUSA300_0305
SAUSA300_0307	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0308	always non-essential	0	0	4	SAUSA300_RS01645	FtsX-like permease family protein	SAUSA300_0308
SAUSA300_0309	always non-essential	0	0	4	SAUSA300_RS01650	ABC transporter ATP-binding protein	SAUSA300_0309
SAUSA300_0311	always non-essential	0	0	4	SAUSA300_RS01660	winged helix-turn-helix transcriptional regulator	SAUSA300_0311
SAUSA300_0312	always non-essential	0	0	4	SAUSA300_RS01665	pseudouridine-5'-phosphate glycosidase	SAUSA300_0312
SAUSA300_0313	always non-essential	0	0	4	SAUSA300_RS01670	NupC/NupG family nucleoside CNT transporter	SAUSA300_0313
SAUSA300_0314	always non-essential	0	0	4	SAUSA300_RS01675	sodium:solute symporter	SAUSA300_0314
SAUSA300_0316	always non-essential	0	0	4	SAUSA300_RS01685	ROK family protein	SAUSA300_0316
SAUSA300_0317	always non-essential	0	0	4	SAUSA300_RS01690	MurR/RpiR family transcriptional regulator	SAUSA300_0317
SAUSA300_0318	always non-essential	0	0	4	SAUSA300_RS01695	N-acetylmannosamine-6-phosphate 2-epimerase	SAUSA300_0318
SAUSA300_0319	always non-essential	0	0	4	SAUSA300_RS01700	YjiH family protein	SAUSA300_0319
SAUSA300_0320	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0321	always non-essential	0	0	4	SAUSA300_RS01710	alpha/beta hydrolase	SAUSA300_0321
SAUSA300_0322	always non-essential	0	0	4	SAUSA300_RS01715	NADH-dependent flavin oxidoreductase	SAUSA300_0322
SAUSA300_0323	always non-essential	0	0	4	SAUSA300_RS01720	hypothetical protein	SAUSA300_0323
SAUSA300_0324	always non-essential	0	0	4	SAUSA300_RS01725	LLM class flavin-dependent oxidoreductase	SAUSA300_0324
SAUSA300_0325	always non-essential	0	0	4	SAUSA300_RS01730	glycine cleavage system protein H	SAUSA300_0325
SAUSA300_0326	always non-essential	0	0	4	SAUSA300_RS01735	protein-ADP-ribose hydrolase	SAUSA300_0326
SAUSA300_0327	always non-essential	0	0	4	SAUSA300_RS01740	NAD-dependent deacetylase	SAUSA300_0327
SAUSA300_0328	always non-essential	0	0	4	SAUSA300_RS01745	lipoate--protein ligase	SAUSA300_0328
SAUSA300_0329	always non-essential	0	0	4	SAUSA300_RS01750	aldehyde reductase	SAUSA300_0329
SAUSA300_0330	always non-essential	0	0	4	SAUSA300_RS01755	PTS ascorbate transporter subunit IIC	SAUSA300_0330
SAUSA300_0331	always non-essential	0	0	4	SAUSA300_RS01760	PTS sugar transporter subunit IIB	SAUSA300_0331
SAUSA300_0332	always non-essential	0	0	4	SAUSA300_RS01765	PTS sugar transporter subunit IIA	SAUSA300_0332
SAUSA300_0333	always non-essential	0	0	4	SAUSA300_RS01770	BglG family transcription antiterminator	SAUSA300_0333
SAUSA300_0334	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0335	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0336	always non-essential	0	0	4	SAUSA300_RS01785	MepB family protein	SAUSA300_0336
SAUSA300_0338	always non-essential	0	0	4	SAUSA300_RS01795	VOC family protein	SAUSA300_0338
SAUSA300_0339	always non-essential	0	0	4	SAUSA300_RS01800	LLM class flavin-dependent oxidoreductase	SAUSA300_0339
SAUSA300_0340	always non-essential	0	0	4	SAUSA300_RS01805	NAD(P)H-dependent oxidoreductase	SAUSA300_0340
SAUSA300_0341	always non-essential	0	0	4	SAUSA300_RS01810	YeiH family protein	SAUSA300_0341
SAUSA300_0342	always non-essential	0	0	4	SAUSA300_RS01815	hypothetical protein	SAUSA300_0342
