"Gene"	"Essentiality"	"Control"	"Condition"	"Replicates"	"LESB_Locus"	"PAO1_Locus"	"PA14_Locus"	"LESB_Description"	"LESB_PGD_ID"	"PAO1_Locus_1"	"PAO1_Gene"	"PAO1_Description"	"PAO1_Accession"	"PAO1_PGD_ID"	"PA14_Locus_1"	"PA14_Gene"	"PA14_Description"	"PA14_Accession"	"PA14_PGD_ID"
"PALES_00551"	"inconsistent replicates"	0	3	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PALES_00561"	"probably always essential"	3	4	4	"PALES_00561"	"PA0055"	"PA14_00670"	"hypothetical protein"	"PGD244152"	"PA0055"	"PA0055"	"hypothetical protein"	"NP_248745.1 ; WP_003083593.1"	"PGD102843"	"PA14_00670"	"PA14_00670"	"hypothetical protein"	"YP_788211.1 ; WP_003083593.1"	"PGD1650945"
"PALES_00571"	"probably always non-essential"	1	1	4	"PALES_00571"	"PA0056"	"PA14_00680"	"putative transcriptional regulator"	"PGD244154"	"PA0056"	"PA0056"	"probable transcriptional regulator"	"NP_248746.1 ; WP_003083596.1"	"PGD102845"	"PA14_00680"	"PA14_00680"	"LysR family transcriptional regulator"	"YP_788212.1 ; WP_003128174.1"	"PGD1650947"
"PALES_00581"	"always non-essential"	0	0	4	"PALES_00581"	"PA0057"	"PA14_00690"	"putative metallo-beta-lactamase"	"PGD244156"	"PA0057"	"PA0057"	"hypothetical protein"	"NP_248747.1 ; WP_003083599.1"	"PGD102847"	"PA14_00690"	"PA14_00690"	"hypothetical protein"	"YP_788213.1 ; WP_003083599.1"	"PGD1650949"
"PALES_00591"	"inconsistent replicates"	1	3	4	"PALES_00591"	"PA0058"	"PA14_00700"	"putative protein-disulfide isomerase"	"PGD244158"	"PA0058"	"dsbM"	"DsbM"	"NP_248748.1 ; WP_003114663.1"	"PGD102849"	"PA14_00700"	"PA14_00700"	"hypothetical protein"	"YP_788214.1 ; WP_003136951.1"	"PGD1650951"
"PALES_00611"	"inconsistent replicates"	0	3	4	"PALES_00611"	"PA0060"	"PA14_00720"	"hypothetical protein"	"PGD244162"	"PA0060"	"PA0060"	"conserved hypothetical protein"	"NP_248750.1 ; WP_003114662.1"	"PGD102853"	"PA14_00720"	"PA14_00720"	"hypothetical protein"	"YP_788216.1 ; WP_003114662.1"	"PGD1650955"
"PALES_00621"	"always non-essential"	0	0	4	"PALES_00621"	"PA0061"	"PA14_00730"	"hypothetical protein"	"PGD244164"	"PA0061"	"PA0061"	"hypothetical protein"	"NP_248751.1 ; WP_003083612.1"	"PGD102855"	"PA14_00730"	"PA14_00730"	"hypothetical protein"	"YP_788217.1 ; WP_003083612.1"	"PGD1650957"
"PALES_00631"	"inconsistent replicates"	0	2	4	"PALES_00631"	"PA0062"	"PA14_00740"	"putative lipoprotein"	"PGD244166"	"PA0062"	"PA0062"	"hypothetical protein"	"NP_248752.1 ; WP_003083614.1"	"PGD102857"	"PA14_00740"	"PA14_00740"	"lipoprotein"	"YP_788218.1 ;"	"PGD1650959"
"PALES_00641"	"inconsistent replicates"	0	2	4	"PALES_00641"	"PA0063"	"PA14_00750"	"putative aminopeptidase"	"PGD244168"	"PA0063"	"PA0063"	"hypothetical protein"	"NP_248753.1 ; WP_003118564.1"	"PGD102859"	"PA14_00750"	"PA14_00750"	"hypothetical protein"	"YP_788219.1 ; WP_003136953.1"	"PGD1650961"
"PALES_00651"	"always non-essential"	0	0	4	"PALES_00651"	"PA0064"	"PA14_00760"	"hypothetical protein"	"PGD244170"	"PA0064"	"PA0064"	"hypothetical protein"	"NP_248754.1 ; WP_003114660.1"	"PGD102861"	"PA14_00760"	"PA14_00760"	"hypothetical protein"	"YP_788220.1 ; WP_003114660.1"	"PGD1650963"
"PALES_00661"	"inconsistent replicates"	1	4	4	"PALES_00661"	"PA0065"	"PA14_00770"	"putative phosphatase"	"PGD244172"	"PA0065"	"PA0065"	"hypothetical protein"	"NP_248755.1 ; WP_003114659.1"	"PGD102863"	"PA14_00770"	"PA14_00770"	"hypothetical protein"	"YP_788221.1 ; WP_003106611.1"	"PGD1650965"
"PALES_00671"	"inconsistent replicates"	0	3	4	"PALES_00671"	"PA0066"	"PA14_00780"	"putative carbonic anhydrases"	"PGD244174"	"PA0066"	"PA0066"	"conserved hypothetical protein"	"NP_248756.1 ; WP_003083618.1"	"PGD102865"	"PA14_00780"	"PA14_00780"	"hypothetical protein"	"YP_788222.1 ; WP_003106612.1"	"PGD1650967"
"PALES_00691"	"inconsistent replicates"	2	4	4	"PALES_00691"	"PA0068"	"PA14_00800"	"putative nucleic-acid-binding protein"	"PGD244178"	"PA0068"	"PA0068"	"hypothetical protein"	"NP_248758.1 ; WP_003083624.1"	"PGD102869"	"PA14_00800"	"PA14_00800"	"hypothetical protein"	"YP_788224.1 ; WP_003083624.1"	"PGD1650971"
"PALES_00701"	"always non-essential"	0	0	4	"PALES_00701"	"PA0069"	"PA14_00810"	"putative DNA repair photolyase"	"PGD244180"	"PA0069"	"PA0069"	"conserved hypothetical protein"	"NP_248759.1 ; WP_003083628.1"	"PGD102871"	"PA14_00810"	"PA14_00810"	"DNA repair photolyase"	"YP_788225.1 ; WP_003083628.1"	"PGD1650973"
"PALES_00711"	"always non-essential"	0	0	4	"PALES_00711"	"PA0070"	"PA14_00820"	"hypothetical protein"	"PGD244182"	"PA0070"	"tagQ1"	"TagQ1"	"NP_248760.1 ; WP_003106614.1"	"PGD102873"	"PA14_00820"	"tagQ1"	"TagQ1"	"YP_788226.1 ; WP_003083630.1"	"PGD1650975"
"PALES_00721"	"inconsistent replicates"	0	2	4	"PALES_00721"	"PA0071"	"PA14_00830"	"hypothetical protein"	"PGD244184"	"PA0071"	"tagR1"	"TagR1"	"NP_248761.1 ; WP_003106615.1"	"PGD102875"	"PA14_00830"	"tagR1"	"TagR1"	"YP_788227.1 ; WP_003083632.1"	"PGD1650977"
"PALES_00731"	"inconsistent replicates"	2	4	4	"PALES_00731"	"PA0072"	"PA14_00850"	"putative permease"	"PGD244186"	"PA0072"	"tagS1"	"TagS1"	"NP_248762.1 ; WP_003083634.1"	"PGD102877"	"PA14_00850"	"tagS1"	"TagS1"	"YP_788228.1 ; WP_003136958.1"	"PGD1650979"
"PALES_00741"	"always essential"	4	4	4	"PALES_00741"	"PA0073"	"PA14_00860"	"putative ATP-binding component of ABC transporter"	"PGD244188"	"PA0073"	"tagT1"	"TagT1"	"NP_248763.1 ; WP_003114657.1"	"PGD102879"	"PA14_00860"	"tagT1"	"TagT1"	"YP_788229.1 ; WP_003136959.1"	"PGD1650981"
"PALES_00761"	"inconsistent replicates"	0	3	4	"PALES_00761"	"PA0075"	"PA14_00890"	"putative phosphoprotein phosphatase"	"PGD244192"	"PA0075"	"pppA"	"PppA"	"NP_248765.1 ; WP_003106965.1"	"PGD102883"	"PA14_00890"	"pppA"	"PppA"	"YP_788231.1 ; WP_003083639.1"	"PGD1650985"
"PALES_00771"	"inconsistent replicates"	2	4	4	"PALES_00771"	"PA0076"	"PA14_00900"	"hypothetical protein"	"PGD244194"	"PA0076"	"tagF1"	"TagF1"	"NP_248766.1 ; WP_003106966.1"	"PGD102885"	"PA14_00900"	"tagF1"	"TagF1"	"YP_788232.1 ; WP_003083642.1"	"PGD1650987"
"PALES_00781"	"inconsistent replicates"	1	2	4	"PALES_00781"	"PA0077"	"PA14_00910"	"hypothetical protein"	"PGD244196"	"PA0077"	"icmF1"	"IcmF1"	"NP_248767.1 ;"	"PGD102887"	"PA14_00910"	"icmF1"	"IcmF1"	"YP_788233.1 ; WP_003122583.1"	"PGD1650989"
"PALES_00791"	"inconsistent replicates"	2	3	4	"PALES_00791"	"PA0078"	"PA14_00925"	"hypothetical protein"	"PGD244198"	"PA0078"	"tssL1"	"TssL1"	"NP_248768.1 ; WP_003115051.1"	"PGD102889"	"PA14_00925"	"tssL1"	"TssL1"	"YP_788234.1 ; WP_003115051.1"	"PGD1650991"
"PALES_00801"	"inconsistent replicates"	1	4	4	"PALES_00801"	"PA0079"	"PA14_00940"	"hypothetical protein"	"PGD244200"	"PA0079"	"tssK1"	"TssK1"	"NP_248769.1 ; WP_003115052.1"	"PGD102891"	"PA14_00940"	"tssK1"	"TssK1"	"YP_788235.1 ; WP_003115052.1"	"PGD1650993"
"PALES_00811"	"inconsistent replicates"	0	3	4	"PALES_00811"	"PA0080"	"PA14_00960"	"putative lipoprotein"	"PGD244202"	"PA0080"	"tssJ1"	"TssJ1"	"NP_248770.1 ; WP_003083660.1"	"PGD102893"	"PA14_00960"	"tssJ1"	"TssJ1"	"YP_788236.1 ; WP_003083660.1"	"PGD1650995"
"PALES_00821"	"inconsistent replicates"	0	2	4	"PALES_00821"	"PA0081"	"PA14_00980"	"hypothetical protein"	"PGD244204"	"PA0081"	"fha1"	"Fha1"	"NP_248771.1 ; WP_003147054.1"	"PGD102895"	"PA14_00980"	"fha1"	"Fha1"	"YP_788238.1 ;"	"PGD1650999"
"PALES_00831"	"inconsistent replicates"	2	3	4	"PALES_00831"	"PA0082"	"PA14_00990"	"hypothetical protein"	"PGD244206"	"PA0082"	"tssA1"	"TssA1"	"NP_248772.1 ; WP_003115054.1"	"PGD102897"	"PA14_00990"	"tssA1"	"TssA1"	"YP_788239.1 ; WP_003111627.1"	"PGD1651001"
"PALES_00841"	"inconsistent replicates"	1	2	4	"PALES_00841"	"PA0083"	"PA14_01010"	"hypothetical protein"	"PGD244208"	"PA0083"	"tssB1"	"TssB1"	"NP_248773.1 ; WP_003083666.1"	"PGD102899"	"PA14_01010"	"hsiB1"	"HsiB1"	"YP_788240.1 ; WP_003083666.1"	"PGD1651003"
"PALES_00851"	"probably always non-essential"	0	1	4	"PALES_00851"	"PA0084"	"PA14_01020"	"hypothetical protein"	"PGD244210"	"PA0084"	"tssC1"	"TssC1"	"NP_248774.1 ; WP_003111626.1"	"PGD102901"	"PA14_01020"	"hsiC1"	"HsiC1"	"YP_788241.1 ; WP_003111626.1"	"PGD1651005"
"PALES_00861"	"probably always non-essential"	0	1	4	"PALES_00861"	"PA0085"	"PA14_01030"	"hypothetical protein"	"PGD244212"	"PA0085"	"hcp1"	"Hcp1"	"NP_248775.1 ; WP_003083670.1"	"PGD102903"	"PA14_01030"	"hcp1"	"Hcp1"	"YP_788242.1 ; WP_003083670.1"	"PGD1651007"
"PALES_00871"	"inconsistent replicates"	2	3	4	"PALES_00871"	"PA0086"	"PA14_01040"	"putative secretion protein"	"PGD244214"	"PA0086"	"tagJ1"	"TagJ1"	"NP_248776.1 ; WP_003119488.1"	"PGD102905"	"PA14_01040"	"tagJ1"	"TagJ1"	"YP_788243.1 ; WP_003119488.1"	"PGD1651009"
"PALES_00881"	"inconsistent replicates"	1	2	4	"PALES_00881"	"PA0087"	"PA14_01060"	"hypothetical protein"	"PGD244216"	"PA0087"	"tssE1"	"TssE1"	"NP_248777.1 ; WP_003104971.1"	"PGD102907"	"PA14_01060"	"tssE1"	"TssE1"	"YP_788244.1 ; WP_003111625.1"	"PGD1651011"
"PALES_00891"	"probably always non-essential"	0	1	4	"PALES_00891"	"PA0088"	"PA14_01070"	"hypothetical protein"	"PGD244218"	"PA0088"	"tssF1"	"TssF1"	"NP_248778.1 ; WP_003115055.1"	"PGD102909"	"PA14_01070"	"tssF1"	"TssF1"	"YP_788245.1 ; WP_003083676.1"	"PGD1651013"
"PALES_00901"	"inconsistent replicates"	0	2	4	"PALES_00901"	"PA0089"	"PA14_01080"	"hypothetical protein"	"PGD244220"	"PA0089"	"tssG1"	"TssG1"	"NP_248779.1 ; WP_003104969.1"	"PGD102911"	"PA14_01080"	"tssG1"	"TssG1"	"YP_788246.1 ; WP_003104969.1"	"PGD1651015"
"PALES_00911"	"inconsistent replicates"	0	3	4	"PALES_00911"	"PA0090"	"PA14_01100"	"putative ClpA/B-type chaperone"	"PGD244222"	"PA0090"	"clpV1"	"ClpV1"	"NP_248780.1 ; WP_003115056.1"	"PGD102913"	"PA14_01100"	"clpV1"	"ClpV1"	"YP_788247.1 ; WP_003136970.1"	"PGD1651017"
"PALES_00921"	"probably always non-essential"	0	1	4	"PALES_00921"	"PA0091"	"PA14_01110"	"hypothetical protein"	"PGD244224"	"PA0091"	"vgrG1"	"VgrG1"	"NP_248781.1 ; WP_010895494.1"	"PGD102915"	"PA14_01110"	"vgrG1a"	"VgrG1a"	"YP_788248.1 ; WP_011666527.1"	"PGD1651019"
"PALES_00931"	"inconsistent replicates"	0	2	4	"PALES_00931"	"PA0092"	"PA14_01120"	"hypothetical protein"	"PGD244226"	"PA0092"	"tsi6"	"Tsi6"	"NP_248782.1 ; WP_003104961.1"	"PGD102917"	"PA14_01120"	"tsi6"	"Tsi6"	"YP_788249.1 ; WP_003111794.1"	"PGD1651021"
"PALES_00941"	"probably always non-essential"	0	1	4	"PALES_00941"	"PA0093"	"PA14_01140"	"hypothetical protein"	"PGD244228"	"PA0093"	"tse6"	"Tse6"	"NP_248783.1 ; WP_003115074.1"	"PGD102919"	"PA14_01140"	"tse6"	"Tse6"	"YP_788251.1 ;"	"PGD1651025"
"PALES_00951"	"inconsistent replicates"	0	2	4	"PALES_00951"	"PA0094"	"PA14_01150"	"hypothetical protein"	"PGD244230"	"PA0094"	"eagT6"	"EagT6"	"NP_248784.1 ; WP_003083692.1"	"PGD102921"	"PA14_01150"	"eagT6"	"EagT6"	"YP_788252.1 ; WP_003083692.1"	"PGD1651027"
"PALES_00961"	"probably always non-essential"	0	1	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PALES_00971"	"inconsistent replicates"	2	3	4	"PALES_00971"	"PA0096"	"PA14_01170"	"hypothetical protein"	"PGD244234"	"PA0096"	"PA0096"	"hypothetical protein"	"NP_248786.1 ; WP_003101196.1"	"PGD102925"	"PA14_01170"	"PA14_01170"	"hypothetical protein"	"YP_788254.1 ; WP_003136987.1"	"PGD1651031"
"PALES_00981"	"inconsistent replicates"	1	3	4	"PALES_00981"	"PA0097"	"PA14_01180"	"hypothetical protein"	"PGD244236"	"PA0097"	"PA0097"	"hypothetical protein"	"NP_248787.1 ; WP_003123798.1"	"PGD102927"	"PA14_01180"	"PA14_01180"	"hypothetical protein"	"YP_788255.1 ; WP_003136988.1"	"PGD1651033"
"PALES_00991"	"inconsistent replicates"	1	2	4	"PALES_00991"	"PA0098"	"PA14_01190"	"3-oxoacyl-(acyl carrier protein) synthase"	"PGD244238"	"PA0098"	"PA0098"	"hypothetical protein"	"NP_248788.1 ; WP_003115088.1"	"PGD102929"	"PA14_01190"	"PA14_01190"	"3-oxoacyl-ACP synthase"	"YP_788256.1 ; WP_003136990.1"	"PGD1651035"
"PALES_01001"	"probably always non-essential"	0	1	4	"PALES_01001"	"PA0099"	"PA14_01200"	"hypothetical protein"	"PGD244240"	"PA0099"	"PA0099"	"type VI effector protein"	"NP_248789.1 ; WP_003115783.1"	"PGD102931"	"PA14_01200"	"PA14_01200"	"hypothetical protein"	"YP_788257.1 ; WP_003136992.1"	"PGD1651037"
"PALES_01011"	"always non-essential"	0	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
